name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id
34+35,Ariana Grande,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173710,4,10,1,2020-11-14,90,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
Dakiti,Bad Bunny,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,10,1,2020-11-14,95,2020-10-30,98,99,27598025,2,"['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",4,4q3ewBCX7sLwd24euuV69X
motive (with Doja Cat),Ariana Grande,5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,-5.664,0,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,167989,4,8,1,2020-11-14,87,2020-10-30,454,99,56616101,2,"['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5']",10,66CXWjxzNUsdJxJ2JdwvnR
off the table (with The Weeknd),Ariana Grande,7E1jVNoWuemqUryI4FxsVD,0.411,0.522,-7.295,1,0.0981,0.519,0.0,0.398,0.382,88.33200000000002,239949,1,9,1,2020-11-14,84,2020-10-30,454,99,78065683,2,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']",0,66CXWjxzNUsdJxJ2JdwvnR
pov,Ariana Grande,3UoULw70kMsiVXxW0L3A33,0.487,0.534,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4,9,1,2020-11-14,85,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
just like magic,Ariana Grande,7Dx9Z6Aon1qPS2N0rHSWTe,0.7190000000000001,0.607,-5.1560000000000015,1,0.165,0.08,0.0,0.125,0.464,128.006,149900,4,7,1,2020-11-14,84,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],8,66CXWjxzNUsdJxJ2JdwvnR
shut up,Ariana Grande,3ko9jEHNt4O5fjKN65ULJp,0.499,0.462,-5.308,1,0.0312,0.8009999999999999,0.0,0.0946,0.599,127.698,157710,4,7,1,2020-11-14,83,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
nasty,Ariana Grande,0sci7ppTZFm4mjcH3nu8yO,0.772,0.506,-6.558,0,0.139,0.0814,1.1e-05,0.182,0.456,127.894,200732,4,12,1,2020-11-14,83,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],6,66CXWjxzNUsdJxJ2JdwvnR
safety net (feat. Ty Dolla $ign),Ariana Grande,14gkWVFMwdxBMyqBw1wmIg,0.552,0.599,-5.75,0,0.0404,0.0703,0.0,0.0986,0.0916,161.884,208457,4,7,1,2020-11-14,84,2020-10-30,454,99,56069229,2,"['66CXWjxzNUsdJxJ2JdwvnR', '7c0XG5cIJTrrAgEC3ULPiq']",1,66CXWjxzNUsdJxJ2JdwvnR
six thirty,Ariana Grande,2IKJtXeR5UsaUjZB46fTOK,0.7390000000000001,0.516,-7.154,1,0.0539,0.67,0.0,0.151,0.434,120.109,183874,4,10,1,2020-11-14,82,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
my hair,Ariana Grande,6u7gmPOz7pzzaeR9xSBpsR,0.6859999999999999,0.526,-6.8420000000000005,1,0.0374,0.0815,7.75e-06,0.14400000000000002,0.3720000000000001,92.013,158436,4,8,1,2020-11-14,83,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
obvious,Ariana Grande,0q85C1JiECyYIQthz1posA,0.624,0.672,-5.334,1,0.106,0.0967,0.0,0.155,0.26,159.852,146958,4,6,1,2020-11-14,82,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
west side,Ariana Grande,1whfVLMKWqAX3uk97VXsNN,0.688,0.455,-8.632,0,0.199,0.18600000000000005,0.0,0.0794,0.557,87.865,132278,4,5,1,2020-11-14,81,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],11,66CXWjxzNUsdJxJ2JdwvnR
love language,Ariana Grande,6NYtLvyThMT0oALFdJFdzq,0.688,0.573,-5.03,0,0.208,0.0686,0.0,0.0749,0.5529999999999999,110.034,179860,4,9,1,2020-11-14,81,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],10,66CXWjxzNUsdJxJ2JdwvnR
Weeeeee,Trippie Redd,2PI3qpTqYowwMzOSQRuj73,0.7290000000000001,0.503,-8.229,1,0.081,0.111,0.0,0.123,0.152,134.92700000000002,152920,4,6,1,2020-11-14,74,2020-10-30,34,91,5497872,1,['6Xgp2XMz1fhVYe7i6yNAax'],0,6Xgp2XMz1fhVYe7i6yNAax
Stay Down (with 6LACK & Young Thug),Lil Durk,6w4PV16oMh5I6ZOCvig0hK,0.813,0.57,-8.408999999999999,0,0.265,0.0909,0.0,0.0982,0.6759999999999999,109.07,169330,4,9,1,2020-11-14,75,2020-10-30,18,93,10121309,3,"['3hcs9uc56yIGFCSy9leWe7', '4IVAbR2w4JJNJDDRFP3E83', '50co4Is1HCEo8bhOyUWKpn']",3,3hcs9uc56yIGFCSy9leWe7
THICK,DJ Chose,0YYNIGKgAk34vZkV2NySie,0.87,0.752,-6.615,1,0.3720000000000001,0.0352,1.1e-06,0.269,0.591,145.118,178834,4,9,1,2020-11-14,79,2020-07-10,1,70,40693,2,"['28Jt29jw6Smc3ZkzALTouq', '5L8p9kDnX2cgoI8VLUL2p4']",4,28Jt29jw6Smc3ZkzALTouq
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4,10,1,2020-11-14,92,2020-07-22,326,91,8402478,1,['07YZf4WDAMNwqr4jfgOZ8y'],2,07YZf4WDAMNwqr4jfgOZ8y
positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172324,4,8,1,2020-11-07,91,2020-10-30,453,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR
Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,10,1,2020-11-07,86,2020-10-23,207,88,3741333,1,['718COspgdWOnwOFpJHRZHS'],0,718COspgdWOnwOFpJHRZHS
Tyler Herro,Jack Harlow,4DuUwzP4ALMqpquHU0ltAB,0.794,0.7559999999999999,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,156497,4,8,1,2020-11-07,86,2020-10-22,39,85,483313,1,['2LIk90788K0zvyj2JJVwkJ'],5,2LIk90788K0zvyj2JJVwkJ
Spicy (feat. Post Malone),Ty Dolla $ign,5nWVyZaCwtfAkBnwDuXjBh,0.784,0.496,-5.746,1,0.0435,0.14,0.0,0.113,0.132,100.002,144027,4,9,1,2020-11-07,83,2020-10-21,68,95,32691578,2,"['7c0XG5cIJTrrAgEC3ULPiq', '246dkjvS1zLTtiykXe5h60']",7,7c0XG5cIJTrrAgEC3ULPiq
The Other Guy,Luke Combs,0jcZ1uIHmvh6Is9T6hXOUk,0.5670000000000001,0.726,-4.705,1,0.0309,0.21600000000000005,0.0,0.12,0.319,141.92,190720,4,9,1,2020-11-07,72,2020-10-23,207,88,3741333,1,['718COspgdWOnwOFpJHRZHS'],6,718COspgdWOnwOFpJHRZHS
Damage,H.E.R.,0KS2h61pHQ4WmOwruD7uxD,0.6459999999999999,0.696,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,223414,4,8,1,2020-11-07,74,2020-10-21,21,83,3060000,1,['3Y7RZ31TRPVadSFVy1o8os'],1,3Y7RZ31TRPVadSFVy1o8os
Back to the Streets (feat. Jhené Aiko),Saweetie,3MEruRteiUZXkStfTlZqRn,0.865,0.792,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,189496,4,11,1,2020-11-07,76,2020-10-23,36,84,4596149,2,"['6cK3NBO6uP7hh0oyuVELFl', '5ZS223C6JyBfXasXxrRqOk']",4,6cK3NBO6uP7hh0oyuVELFl
SO DONE,The Kid LAROI,5psEZhQu6lukjhavJo4AbC,0.7190000000000001,0.598,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,126521,4,6,1,2020-11-07,86,2020-10-23,1,89,677723,1,['2tIP7SsRs7vjIcLrU85W8J'],9,2tIP7SsRs7vjIcLrU85W8J
Cold As You,Luke Combs,7IWV29mryrqtO0JVgnPtfv,0.598,0.846,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,186106,4,5,1,2020-11-07,71,2020-10-23,207,88,3741333,1,['718COspgdWOnwOFpJHRZHS'],6,718COspgdWOnwOFpJHRZHS
PRACTICE,DaBaby,4Z5FyQlevoHoa5FsIVKZju,0.8490000000000001,0.536,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,122586,4,6,1,2020-11-07,82,2020-08-04,164,95,4798149,1,['4r63FhuTkUYltbVAg5TQnk'],1,4r63FhuTkUYltbVAg5TQnk
La Tóxica,Farruko,15OjBeqNX3bShsGYQbteRv,0.659,0.701,-4.107,1,0.16399999999999998,0.0882,0.0,0.0866,0.623,91.97,180520,4,9,1,2020-11-07,92,2020-07-24,7,94,8453562,1,['329e4yvIujISKGKz1BZZbO'],9,329e4yvIujISKGKz1BZZbO
"Wine, Beer, Whiskey",Little Big Town,5avVDmK9FVJpd3MDO8I3Zl,0.727,0.914,-5.85,1,0.0743,0.617,0.0,0.596,0.784,106.021,196160,4,8,1,2020-11-07,69,2020-01-17,163,70,1933218,1,['3CygdxquGHurS7f9LjNLkv'],7,3CygdxquGHurS7f9LjNLkv
Lonely (with benny blanco),Justin Bieber,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,-7.0710000000000015,0,0.0398,0.8640000000000001,0.0,0.116,0.0927,79.859,149297,4,7,1,2020-10-31,94,2020-10-16,424,96,39838662,2,"['1uNFoZAHBGtllmzznpCI3s', '5CiGnKThu5ctn9pBxv7DGa']",11,1uNFoZAHBGtllmzznpCI3s
You’re Mines Still (feat. Drake),Yung Bleu,7E2C5rBLpCKwQlhJPVFBRS,0.575,0.609,-4.88,0,0.121,0.317,0.0,0.105,0.339,83.00399999999998,226220,4,11,1,2020-10-31,78,2020-10-15,0,100,51165463,2,"['3KNIG74xSTc3dj0TRy7pGX', '3TVXtAsR1Inumwj472S9r4']",5,3KNIG74xSTc3dj0TRy7pGX
Hate The Way (feat. blackbear),G-Eazy,3QGppKBPd9gHOgHJzRbVIw,0.569,0.865,-3.844,0,0.266,0.0673,0.0,0.312,0.361,82.01100000000002,214363,4,9,1,2020-10-31,80,2020-10-16,108,89,8299326,2,"['02kJSzxNuaWGqwubyUba0Z', '2cFrymmkijnjDg9SS92EPM']",4,02kJSzxNuaWGqwubyUba0Z
