,acousticness,artist,chart_date,danceability,energy,instrumentalness,length,liveness,loudness,mode,name,popularity,release_date,song_id,speechiness,target,tempo,time_signature,valence,weeks,duration_ms,sections,artist_popularity,artist_followers,number_of_artists,list_of_artists
0,0.137,Larray,2020-10-31,0.647,0.803,4.06e-06,173880,0.0952,-5.36,0,Canceled,69,2020-10-18,3VxOgQ9o1aKonFx4d5lPR3,0.389,1.0,82.108,4,0.55,1,173880,7,61,174616,1,['0rQjJGZLXBq95OA3nSmDj9']
1,0.301,Kenny Chesney,2020-10-31,0.715,0.665,0.0,168733,0.123,-5.486,1,Happy Does,66,2020-05-01,2v08cjj3Th8RpfJgluECcj,0.0381,1.0,109.019,4,0.593,569,168733,7,77,3185713,1,['3grHWM9bx2E9vwJCdlRv9O']
2,0.0135,BRS Kash,2020-10-31,0.9,0.521,0.0,218181,0.0951,-7.286,0,Throat Baby (Go Baby),75,2020-07-24,31iqpzg1ZXLLgq0L5iIwLe,0.147,1.0,132.007,4,0.213,1,218181,9,63,3474,1,['5jJjvmEwRr8epuGZq4eUUa']
3,0.0272,Lady A,2020-10-31,0.523,0.927,5.98e-06,185069,0.168,-2.796,1,Champagne Night - From Songland,66,2020-06-12,48F2xnWq3LuzYWML327Z2r,0.0489,1.0,149.929,4,0.939,1,185069,7,74,3085296,1,['32WkQRZEVKSzVAAYqukAEA']
0,0.504,Kelsea Ballerini,2020-10-24,0.672,0.552,0.0,152440,0.0636,-6.375,1,hole in the bottle - ballerini album version,70,2020-09-11,1f6BZccfonUYohfGJIeBR1,0.0316,1.0,105.02,4,0.594,114,152440,10,75,814454,1,['3RqBeV12Tt7A8xH3zBDDUF']
1,0.598,Clairo,2020-10-24,0.744,0.619,0.00372,188386,0.231,-9.805,1,Sofia,88,2019-08-02,7B3z0ySL9Rr0XvZEAjWZzM,0.039,1.0,112.997,4,0.641,1,188386,8,85,1729496,1,['3l0CmX0FuQjFxr8SK7Vqag']
0,0.131,Shawn Mendes,2020-10-17,0.333,0.637,1.8e-05,172692,0.149,-4.904,0,Wonder,92,2020-10-02,5KCbr5ndeby4y4ggthdiAb,0.0581,1.0,139.898,4,0.132,209,172692,7,90,29629435,1,['7n2wHs1TKAczGzO7Dd2rGr']
1,0.0101,Why Don't We,2020-10-17,0.606,0.9,0.0,216504,0.075,-4.504,1,Fallin’ (Adrenaline),80,2020-09-29,5GhJIMWAw0uMLgkdbt6uMz,0.119,1.0,133.963,4,0.233,1,216504,8,80,2380703,1,['2jnIB6XdLvnJUeNTy5A0J2']
2,0.00668,BLACKPINK,2020-10-17,0.658,0.733,0.0,192760,0.118,-4.756,1,Lovesick Girls,86,2020-10-02,4Ws314Ylb27BVsvlZOy30C,0.0586,1.0,127.977,4,0.464,8,192760,9,94,16221070,1,['41MozSoPIsD1dJM0CLPjZF']
3,0.168,Bryson Tiller,2020-10-17,0.605,0.489,2.36e-06,170053,0.187,-7.234,0,Always Forever,72,2020-10-02,1LV5cAo02H8h5YlZNcjULM,0.174,1.0,147.341,4,0.326,51,170053,10,85,4430852,1,['2EMAnMvWE2eb56ToJVfCWs']
4,0.0279,Bryson Tiller,2020-10-17,0.374,0.577,5.6e-06,179976,0.562,-7.085,1,Years Go By,72,2020-10-02,4SVTus5gJc5cfkFZ8ELK1p,0.302,1.0,184.201,4,0.0658,51,179976,8,85,4430852,1,['2EMAnMvWE2eb56ToJVfCWs']
0,0.128,Polo G,2020-10-10,0.616,0.617,0.0,177272,0.177,-8.431,1,Epidemic,81,2020-09-25,170DNUSnQRp1tGpppF26pA,0.52,1.0,175.929,4,0.476,17,177272,7,89,2329002,1,['6AgTAQt8XS6jRWi4sX7w49']
1,0.00021,Machine Gun Kelly,2020-10-10,0.533,0.858,0.0,205158,0.148,-4.212,1,bloody valentine,80,2020-09-25,6mADjHs6FXdroPzEGW6KVJ,0.0766,1.0,160.057,4,0.506,5,205158,7,91,2665559,1,['6TIYQ3jFPwQSRmorSezPxX']
2,0.0845,Ne-Yo,2020-10-10,0.656,0.647,8.73e-05,185934,0.315,-7.584,1,"U 2 Luv (Remix feat. Jeremih, Queen Naija, & Lil Durk)",54,2020-10-23,4ngz3vlQcFj3aNnTNikoRv,0.108,1.0,181.884,4,0.686,254,185934,8,87,13691133,4,"['21E3waRsmPlU7jZsS13rcj', '3KV3p5EY4AvKxOlhGHORLg', '3nViOFa3kZW8OMSNOzwr98', '3hcs9uc56yIGFCSy9leWe7']"
