name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
Canceled,Larray,3VxOgQ9o1aKonFx4d5lPR3,0.647,0.8029999999999999,-5.36,0,0.389,0.13699999999999998,4.06e-06,0.0952,0.55,82.10799999999999,173880,4,7,1.0,31.10.2020,69,18.10.2020,1,61,174616,1,['0rQjJGZLXBq95OA3nSmDj9'],11
Happy Does,Kenny Chesney,2v08cjj3Th8RpfJgluECcj,0.715,0.665,-5.486000000000001,1,0.0381,0.301,0.0,0.12300000000000001,0.593,109.01899999999999,168733,4,7,1.0,31.10.2020,66,01.05.2020,569,77,3185713,1,['3grHWM9bx2E9vwJCdlRv9O'],6
Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe,0.9,0.521,-7.2860000000000005,0,0.147,0.0135,0.0,0.0951,0.213,132.007,218181,4,9,1.0,31.10.2020,75,24.07.2020,1,63,3474,1,['5jJjvmEwRr8epuGZq4eUUa'],4
Champagne Night - From Songland,Lady A,48F2xnWq3LuzYWML327Z2r,0.523,0.927,-2.7960000000000003,1,0.0489,0.0272,5.98e-06,0.168,0.9390000000000001,149.929,185069,4,7,1.0,31.10.2020,66,12.06.2020,1,74,3085296,1,['32WkQRZEVKSzVAAYqukAEA'],4
hole in the bottle - ballerini album version,Kelsea Ballerini,1f6BZccfonUYohfGJIeBR1,0.672,0.552,-6.375,1,0.0316,0.504,0.0,0.0636,0.594,105.02,152440,4,10,1.0,24.10.2020,70,11.09.2020,114,75,814454,1,['3RqBeV12Tt7A8xH3zBDDUF'],4
Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,0.7440000000000001,0.619,-9.805,1,0.039,0.598,0.00372,0.231,0.6409999999999999,112.99700000000001,188386,4,8,1.0,24.10.2020,88,02.08.2019,1,85,1729496,1,['3l0CmX0FuQjFxr8SK7Vqag'],0
Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,0.33299999999999996,0.637,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172692,4,7,1.0,17.10.2020,92,02.10.2020,209,90,29629435,1,['7n2wHs1TKAczGzO7Dd2rGr'],1
Fallin’ (Adrenaline),Why Don't We,5GhJIMWAw0uMLgkdbt6uMz,0.606,0.9,-4.504,1,0.11900000000000001,0.0101,0.0,0.075,0.233,133.963,216504,4,8,1.0,17.10.2020,80,29.09.2020,1,80,2380703,1,['2jnIB6XdLvnJUeNTy5A0J2'],0
Lovesick Girls,BLACKPINK,4Ws314Ylb27BVsvlZOy30C,0.6579999999999999,0.733,-4.756,1,0.0586,0.006679999999999999,0.0,0.11800000000000001,0.46399999999999997,127.977,192760,4,9,1.0,17.10.2020,86,02.10.2020,8,94,16221070,1,['41MozSoPIsD1dJM0CLPjZF'],6
Always Forever,Bryson Tiller,1LV5cAo02H8h5YlZNcjULM,0.605,0.489,-7.234,0,0.174,0.168,2.36e-06,0.187,0.326,147.341,170053,4,10,1.0,17.10.2020,72,02.10.2020,51,85,4430852,1,['2EMAnMvWE2eb56ToJVfCWs'],10
Years Go By,Bryson Tiller,4SVTus5gJc5cfkFZ8ELK1p,0.374,0.5770000000000001,-7.085,1,0.302,0.0279,5.6e-06,0.562,0.0658,184.201,179976,4,8,1.0,17.10.2020,72,02.10.2020,51,85,4430852,1,['2EMAnMvWE2eb56ToJVfCWs'],1
Epidemic,Polo G,170DNUSnQRp1tGpppF26pA,0.616,0.617,-8.431000000000001,1,0.52,0.128,0.0,0.177,0.47600000000000003,175.929,177272,4,7,1.0,10.10.2020,81,25.09.2020,17,89,2329002,1,['6AgTAQt8XS6jRWi4sX7w49'],1
bloody valentine,Machine Gun Kelly,6mADjHs6FXdroPzEGW6KVJ,0.5329999999999999,0.858,-4.212,1,0.0766,0.00021,0.0,0.14800000000000002,0.506,160.05700000000002,205158,4,7,1.0,10.10.2020,80,25.09.2020,5,91,2665559,1,['6TIYQ3jFPwQSRmorSezPxX'],2
"U 2 Luv (Remix feat. Jeremih, Queen Naija, & Lil Durk)",Ne-Yo,4ngz3vlQcFj3aNnTNikoRv,0.6559999999999999,0.647,-7.584,1,0.10800000000000001,0.0845,8.73e-05,0.315,0.6859999999999999,181.88400000000001,185934,4,8,1.0,10.10.2020,54,23.10.2020,254,87,13691133,4,"['21E3waRsmPlU7jZsS13rcj', '3KV3p5EY4AvKxOlhGHORLg', '3nViOFa3kZW8OMSNOzwr98', '3hcs9uc56yIGFCSy9leWe7']",6
Better,ZAYN,1dLXLETYiZohIZWnse4ypG,0.637,0.418,-7.1370000000000005,1,0.301,0.353,0.0,0.131,0.0807,84.295,174516,4,7,1.0,10.10.2020,84,25.09.2020,1,85,13330429,1,['5ZsFI1h6hIdQRw2ti0hz81'],2
drunk face,Machine Gun Kelly,3k0YJnqMKRZb8swo86vCkq,0.691,0.77,-4.578,0,0.0367,0.0282,0.0,0.49700000000000005,0.344,90.024,143900,4,7,1.0,10.10.2020,76,25.09.2020,5,91,2665559,1,['6TIYQ3jFPwQSRmorSezPxX'],7
"Big, Big Plans",Chris Lane,7yNJCsUH3tXlpQiHSsAc5l,0.574,0.58,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974,187306,4,8,1.0,10.10.2020,74,28.06.2019,37,70,414113,1,['68abRTdO4meYReMWHvBYb0'],7
"Ay, DiOs Mío!",KAROL G,7x4ASXYEKfQBCewcZhK776,0.718,0.7120000000000001,-4.3660000000000005,1,0.174,0.512,0.00121,0.10400000000000001,0.531,180.03400000000002,189653,4,10,1.0,10.10.2020,92,10.07.2020,1,89,12698048,1,['790FomKkXshlbRYZFtlgla'],11
GOOD TIME,Niko Moon,5Kpg1A7BOHpBbaT3H3xqd3,0.79,0.6459999999999999,-5.877999999999999,1,0.0447,0.132,0.0,0.295,0.6409999999999999,138.047,214706,4,9,1.0,10.10.2020,67,14.02.2020,1,61,19863,1,['6Rw7DRa1dzChBvxGPCpOxU'],5
