track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,chart_date,duration_ms,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,lsit_of_artists
Lucky Man,Montgomery Gentry,spotify:track:4GiXBCUF7H6YfNQsnBRIzl,0.578,0.471,4,-7.27,1,0.0289,0.368,0,0.159,0.532,133.061,196707,4,30.88059,13,1,,196706,49,2006-10-24,0,63,976170,1,['3bGXaFVQLASmDMdjjeJr8a']
On The Hotline,Pretty Ricky,spotify:track:1zyqZONW985Cs4osz9wlsu,0.704,0.854,10,-5.477,0,0.183,0.0185,0,0.148,0.688,92.988,242587,4,41.51106,10,1,,242586,57,2007,0,62,1058733,1,['6XwcepfAsPhrvwziGxhwju']
Clouds Of Dementia,Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,338893,4,65.32887,13,0,,338893,0,2009-04-03,0,47,117319,1,['7zDtfSB0AOZWhpuAHZIOw5']
"Heavy Metal, Raise Hell!",Zwartketterij,spotify:track:2IjBPp2vMeX7LggzRN3iSX,0.188,0.994,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.333,148.44,255667,4,58.59528,9,0,,255666,0,2007,0,0,89,1,['4jGKpLbPpdhjmXkJSXbqtK']
I Got A Feelin',Billy Currington,spotify:track:1tF370eYXUcWwkIvaq3IGz,0.63,0.764,2,-4.353,1,0.0275,0.363,0,0.125,0.631,112.098,193760,4,22.62384,10,1,,193760,45,2011-01-01,0,71,1873002,1,['1By9QBFnjZAoI83BZppHlt']
Dantzig Station,State Of Art,spotify:track:5Z3nrC0JbJmXaOGiXTuNFk,0.726,0.837,11,-7.223,0,0.0965,0.373,0.268,0.136,0.969,135.347,192720,4,28.29051,10,0,,192720,1,2009-12-21,0,3,144,1,['296MWsDlkDsnLb043EeIF8']
Divorced,Blacklisted,spotify:track:0iAdSLiQBIizTAiLUP7p5E,0.365,0.922,1,-2.644,1,0.071,0.00285,0,0.321,0.29,77.25,89427,4,45.77202,4,0,,89426,3,2005,0,30,15726,1,['5Rk9nXVSA2RzBdef3aTJPR']
Where I Come From,Alan Jackson,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,0.726,0.631,11,-8.136,0,0.0334,0.22,0,0.193,0.746,124.711,239240,4,35.59732,10,1,,239240,56,2010-11-19,0,76,1367879,1,['4mxWe1mtYIYfP040G38yvS']
Nothin' To Die For,Tim McGraw,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,0.481,0.786,10,-5.654,1,0.0288,0.0538,0,0.0759,0.389,153.105,253640,4,19.65701,11,1,,253640,20,2007-03-27,0,77,3346217,1,['6roFdX1y5BYSbp60OTJWMd']
I Want to Know Your Plans,Say Anything,spotify:track:3pjnCLIHbRczUjenWOEo56,0.647,0.324,7,-9.679,1,0.0377,0.354,0,0.115,0.344,124.213,314286,3,32.66343,16,0,,314285,0,2005-10-01,0,56,237539,1,['3ImqpXKKgkH5VydfgX1hd4']
F.U.R.B. (F U Right Back),Frankee,spotify:track:7jElrCgQJBcVLsbMRKni2t,0.787,0.632,8,-3.487,1,0.137,0.103,6.78e-06,0.388,0.612,141.026,198173,4,18.091,9,1,,198173,45,2004-04-06,0,42,3615,1,['01U4snBkRWq0FBrK3P1mwM']
Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0.491,0.776,2,-3.887,1,0.0393,0.314,0,0.146,0.428,154.988,202547,4,37.86861,9,1,,202546,59,2005-07-26,0,80,4172572,1,['3FfvYsEGaIb52QPXhg4DcH']
Gin And Juice,Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.206,94.028,224053,4,62.77759,9,0,,224053,23,2008-04-08,0,30,12821,1,['209McJAEbNbvQXsnuNJZJw']
Six-Pack Summer,Phil Vassar,spotify:track:23qDMWnwf8p0pr5slljB6i,0.725,0.733,0,-6.66,1,0.0242,0.508,0,0.173,0.843,100.311,219827,4,27.0663,8,1,,219826,42,2000-02-21,0,53,229647,1,['1XhhO2dTs2fKyhILj0aam6']
Hatho Pai Kariya Na Kar,Kartar Ramla,spotify:track:7KA8tQVcGqCHHdGwSCRi6v,0.497,0.421,2,-14.059,0,0.187,0.985,0.839,0.148,0.804,92.19,232719,4,33.3613,15,0,,232719,0,2007-12-01,0,25,8998,2,"['6Dy7t6ELZYEMhw9WNZ9IIF', '5nLbRqvY7cG4F2G4Mg6dMe']"
Serious Hardcore - Original Mix,Ham,spotify:track:6mGnxmegYYJA2TkhXCbOkb,0.509,0.942,11,-6.899,1,0.0628,0.000639,0.882,0.0788,0.163,169.96,460080,4,34.78597,12,0,,460080,4,2002-01-01,0,30,3819,2,"['0SaKau45p7bLauh7j5zDTd', '67es8ZtGIcV80XDLwlQkU3']"
Daddy Won't Sell The Farm,Montgomery Gentry,spotify:track:2Wt173KM9i97KSB52qCuqj,0.708,0.728,7,-7.039,1,0.0298,0.011,2.26e-05,0.0556,0.704,119.881,258640,4,33.81641,15,1,,258640,36,1999-03-09,0,63,976170,1,['3bGXaFVQLASmDMdjjeJr8a']
