Clouds Of Dementia,Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,4,13,0,,338893,0,2009-04-03,0,47,117319,1,['7zDtfSB0AOZWhpuAHZIOw5']
"Heavy Metal, Raise Hell!",Zwartketterij,spotify:track:2IjBPp2vMeX7LggzRN3iSX,0.188,0.994,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.333,148.44,4,9,0,,255666,0,2007,0,0,89,1,['4jGKpLbPpdhjmXkJSXbqtK']
Dantzig Station,State Of Art,spotify:track:5Z3nrC0JbJmXaOGiXTuNFk,0.726,0.837,11,-7.223,0,0.0965,0.373,0.268,0.136,0.969,135.347,4,10,0,,192720,1,2009-12-21,0,3,144,1,['296MWsDlkDsnLb043EeIF8']
Divorced,Blacklisted,spotify:track:0iAdSLiQBIizTAiLUP7p5E,0.365,0.922,1,-2.644,1,0.071,0.00285,0,0.321,0.29,77.25,4,4,0,,89426,3,2005,0,30,15726,1,['5Rk9nXVSA2RzBdef3aTJPR']
I Want to Know Your Plans,Say Anything,spotify:track:3pjnCLIHbRczUjenWOEo56,0.647,0.324,7,-9.679,1,0.0377,0.354,0,0.115,0.344,124.213,3,16,0,,314285,0,2005-10-01,0,56,237539,1,['3ImqpXKKgkH5VydfgX1hd4']
Gin And Juice,Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.206,94.028,4,9,0,,224053,23,2008-04-08,0,30,12821,1,['209McJAEbNbvQXsnuNJZJw']
Hatho Pai Kariya Na Kar,Kartar Ramla,spotify:track:7KA8tQVcGqCHHdGwSCRi6v,0.497,0.421,2,-14.059,0,0.187,0.985,0.839,0.148,0.804,92.19,4,15,0,,232719,0,2007-12-01,0,25,8998,2,"['6Dy7t6ELZYEMhw9WNZ9IIF', '5nLbRqvY7cG4F2G4Mg6dMe']"
Serious Hardcore - Original Mix,Ham,spotify:track:6mGnxmegYYJA2TkhXCbOkb,0.509,0.942,11,-6.899,1,0.0628,0.000639,0.882,0.0788,0.163,169.96,4,12,0,,460080,4,2002-01-01,0,30,3819,2,"['0SaKau45p7bLauh7j5zDTd', '67es8ZtGIcV80XDLwlQkU3']"
Era De Maggio,Tito Schipa,spotify:track:1YJ7qQEFIkh2r8VEb5X8lp,0.395,0.248,1,-10.025,1,0.0519,0.979,0,0.177,0.324,85.174,3,10,0,,207888,0,2007-07-02,0,21,4776,1,['3OJid9CjABtxcDoW5yQB0L']
Apply Some Pressure,Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,0.378,0.953,9,-3.632,1,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,4,12,0,,200346,57,2005-05-16,0,56,189736,1,['048FBwXjFYBWxSggPDipic']
Celtic Pride,The Mahones,spotify:track:2lAbqS3XIaHpZyhwW3pMjg,0.329,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,4,9,0,,272880,13,2007,0,39,26895,1,['1aTLhV7R5gUjrR60ubjz6V']
Birth Interlude,Clubroot,spotify:track:4wuqqKXIbFBB8MX0EYpj96,0.389,0.598,4,-8.473,1,0.0363,0.782,0.948,0.0825,0.0396,140.002,4,10,0,,226146,9,2009,0,33,14619,1,['5lHhbrX9ll4e8ilhvLzzI6']
Here Comes The Summer,The Fiery Furnaces,spotify:track:257xjCQOUQaSOwQWw9fTe1,0.723,0.785,5,-5.722,1,0.0302,0.0247,0.00347,0.26,0.816,128.03,4,9,0,,209986,25,2005-01-24,0,33,19045,1,['03G0pJHLHj7FRuCV5OYzpv']
In the Dreamlife You Need a Rubber Soul,The Clean,spotify:track:5HKa6wcKiCxpBDSt3sY0mk,0.56,0.808,10,-6.725,1,0.0306,0.2,0.308,0.416,0.691,128.051,4,11,0,,205826,7,2009-09-08,0,40,25399,1,['6LRmgzRManplPQghd2BMqz']
Stay - 2006 Remaster,Frankie Valli & The Four Seasons,spotify:track:4T8LdAE3UU0mWIzrB9gnIg,0.735,0.732,10,-8.915,1,0.0699,0.572,2.61e-05,0.0997,0.656,117.58,4,5,0,,116506,19,2006-09-12,0,68,398095,1,['6mcrZQmgzFGRWf7C0SObou']
Improvisation 5,Joe Mcphee,spotify:track:5H1K7aT6Ox3rDBygoqVpNo,0.536,0.081,8,-20.968,1,0.0877,0.958,0.922,0.113,0.477,138.498,1,8,0,,186973,0,2008-03-18,0,14,2864,2,"['27oJnNF9gM9RZp0oFSDmkC', '7gBrvbjCtAuE5KxE9EvZyY']"
True Rebel,Nitrogenetics,spotify:track:4atXnrsTrNuKSi7DMU5wdY,0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,4,17,0,,363000,15,2007-04-09,0,20,4814,1,['7zXir1JPk4DA5u0Dln80VO']
Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,spotify:track:7d7l6Qnbnqv9nkuHrh6p1N,0.658,0.954,9,-5.376,1,0.0792,0.000891,9.8e-06,0.115,0.486,132.029,3,18,0,,411084,28,2006-03-10,0,66,782280,1,['066X20Nz7iquqkkCW6Jxy6']
Black Sails At Midnight,Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,0.493,0.977,5,-3.808,0,0.151,7.21e-06,0.00538,0.356,0.322,100.02,4,10,0,,210986,28,2009-06-02,0,64,420647,1,['3OpqU68JpZlzvjAJj3B2Da']
Caustic Disco,Velvet Acid Christ,spotify:track:10ZjRxNkqhgs4BKLuggiil,0.564,0.878,7,-6.835,1,0.0499,9.11e-06,0.793,0.671,0.483,127.046,4,11,0,,287600,35,2009-10-27,0,37,26672,1,['2AAS7xp8XZFaqCvmL2hyeG']
Arctic,Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,0.277,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.117,0.351,95.514,4,10,0,,267128,0,2002-09-13,0,15,1033,1,['4PRz1NoXljrabtpfxY3cSP']
