track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,sections,target,chart_date,duration_ms,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists
Clouds Of Dementia,Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,9,-3.009,1,0.0473,0.00011100000000000001,0.00457,0.174,0.3,86.964,4,13,0,,338893,0,2009-04-03,0,47,117319,1,['7zDtfSB0AOZWhpuAHZIOw5']
"Cello Suite No. 1 in G Major, BWV 1007: II. Allemande",Johann Sebastian Bach,spotify:track:7dGshs3Bzxe1B0vOIA0723,0.39899999999999997,0.0374,7,-28.436,1,0.0629,0.961,0.8390000000000001,0.0965,0.825,75.062,4,11,0,,238853,2,2013-04-01,0,81,2935950,2,"['5aIqB5nVVvmFsvSdExz408', '6VqsWKl9ZqwrFqGb4VRE3G']"
Black Brick,Deafheaven,spotify:track:63OqMoUP4Racq9holZo6dU,0.19399999999999998,0.946,2,-5.04,0,0.0742,1.7199999999999998e-05,0.858,0.355,0.0534,98.626,4,15,0,,447297,37,2019-02-27,0,47,138624,1,['4XpPveeg7RuYS3CgLo75t9']
Test & Recognise - Flume Re-work,Seekae,spotify:track:24BYTj1tb5ovZcnIbtdTYD,0.544,0.579,8,-8.52,1,0.0712,0.193,1.4300000000000002e-05,0.11699999999999999,0.294,109.76899999999999,4,12,0,,303660,64,2014-08-14,0,77,2113759,2,"['4lCsf6uYTVnWSKm99eKkdY', '6nxWCVXbOlEVRexSbLsTer']"
Belly Ring,Mika Singh,spotify:track:4Kx8EQ9goBmUGpvDP8i5Ib,0.8220000000000001,0.84,1,-4.093,0,0.145,0.102,4.36e-06,0.0613,0.785,106.0,4,7,0,,179646,25,2019-12-11,0,13,23,1,['5CVngiuTM3B3FdcwYf7MIt']
Ghar More Pardesiya,Shreya Ghoshal,spotify:track:1bx6spmieE655BQvWdTYKA,0.703,0.982,4,-3.466,1,0.11800000000000001,0.39399999999999996,0.0009390000000000001,0.109,0.6970000000000001,110.03,4,14,0,,319635,54,2019-04-14,0,76,5414564,1,['0oOet2f43PA68X5RxKobEy']
Adrienne,Vanessa Paradis,spotify:track:7iiJXTMBcz8SvqaLr9B2tC,0.6809999999999999,0.588,5,-8.977,1,0.0299,0.39799999999999996,0.006220000000000001,0.0906,0.726,124.93299999999999,4,12,0,,205653,10,2013-04-08,0,62,203729,2,"['1FmxE030Xe2H8Bn9bdv6Pd', '4VuZOySa9AIegZZzNIjPLC']"
Revolution (feat. First Aid Kit),Van William,spotify:track:5DocsREEQteuxe8uQC1YaP,0.442,0.655,11,-6.617000000000001,1,0.0382,0.342,3.96e-06,0.184,0.541,159.964,4,9,0,,235946,16,2018-06-01,0,67,960064,2,"['73Au3G1YzSqMiEg9ru49UQ', '21egYD1eInY6bGFcniCRT1']"
Falls,Bayonne,spotify:track:3rO7acmvb3TTaFBUD9jI1i,0.475,0.7509999999999999,10,-4.806,1,0.0271,0.643,0.855,0.129,0.142,81.532,4,7,0,,240108,44,2017-01-26,0,45,21464,1,['6BbqU3r1G2mwkRIfIbkCek']
Tendu - Spinning Song for Ballet Class,Ballet L'école,spotify:track:3wP1xBMeSYH4pe1zAjqUIV,0.604,0.222,0,-19.021,1,0.0911,0.9520000000000001,0.895,0.0951,0.33,125.291,4,4,0,,50600,24,2010-08-08,0,40,13894,1,['5qJltWTMfIGZTr2GDrKPST']
Turtles All the Way Down,Sturgill Simpson,spotify:track:4NE3oWyUQI2b2NjyMyC8Bi,0.5529999999999999,0.314,4,-9.217,1,0.0396,0.306,0.0005780000000000001,0.10400000000000001,0.585,91.7,4,8,0,,188186,61,2014-05-13,0,72,437244,1,['3vDpQbGnzRbRVirXlfQagB']
Hidden in the Deep,Satanika,spotify:track:3H8KoZieG4gzuaujtTl2iL,0.52,0.985,2,-6.188,1,0.17,5.479999999999999e-05,0.943,0.196,0.0369,99.969,4,12,0,,252000,0,2019-12-06,0,6,1516,1,['1pBTlZJ6Ek2Rfe5rxUBiEv']
