name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
raindrops (an angel cried),Ariana Grande,0v2LUO8oTHnkjQ8MmKuXyk,0.336,0.231,-6.2170000000000005,1,0.0497,0.9420000000000001,0.0,0.188,0.429,168.685,37640,5,2,0,,68,2018-08-17,268,99,52659379,1,['66CXWjxzNUsdJxJ2JdwvnR'],1,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Take Off,Fantasia,3CuIhHMckFVqx9UBelG2qP,0.375,0.79,-3.0210000000000004,1,0.11699999999999999,0.00121,6.56e-05,0.11,0.624,185.955,220664,4,12,0,,22,2019-10-11,97,62,1264040,1,['7xAcVHPiirnUqfdqo0USb1'],1,7xAcVHPiirnUqfdqo0USb1,Fantasia
PTSD (feat. T-Pain),Fantasia,59QalWy4wQ8SVmZqvq8dgl,0.6970000000000001,0.599,-5.83,0,0.0737,0.107,0.0,0.126,0.544,113.086,238561,4,13,0,,33,2019-10-11,97,82,4201902,2,"['7xAcVHPiirnUqfdqo0USb1', '3aQeKQSyrW4qWr35idm0cy']",8,7xAcVHPiirnUqfdqo0USb1,Fantasia
No Suitcase,Karmin,4xKZDtsDy1UUJGN6L3r3Py,0.758,0.715,-6.859,0,0.0588,0.00731,6.99e-06,0.124,0.7440000000000001,138.93,215960,4,10,0,,22,2016-09-23,30,58,515219,1,['4M0DLz8te9Q1lNIXBBwvfG'],5,4M0DLz8te9Q1lNIXBBwvfG,Karmin
Didn't Know You,Karmin,63oKceUFfMo1rqd25NbQ2i,0.745,0.836,-5.2410000000000005,1,0.0593,0.0020800000000000003,0.00916,0.132,0.532,119.995,188040,4,7,0,,30,2016-09-23,30,58,515219,1,['4M0DLz8te9Q1lNIXBBwvfG'],10,4M0DLz8te9Q1lNIXBBwvfG,Karmin
Dance With You,Karmin,5EE95d4fuDcgPeBQ3QRsjZ,0.562,0.7609999999999999,-5.532,1,0.0767,0.00418,0.0118,0.21600000000000003,0.38299999999999995,155.89,230493,3,9,0,,31,2016-09-23,30,58,515219,1,['4M0DLz8te9Q1lNIXBBwvfG'],7,4M0DLz8te9Q1lNIXBBwvfG,Karmin
Until the End,Avenged Sevenfold,5NJTJElk0ArSxQtYjA0rYR,0.34,0.816,-7.928999999999999,0,0.0565,0.0195,0.0,0.095,0.272,160.009,285613,4,14,0,,48,2020-02-07,19,79,4282078,1,['0nmQIMXWTXfhgOBdNzhGOs'],6,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold
Flash of the Blade,Avenged Sevenfold,7JdFZwtQ8ddrCNS2h6VuP1,0.45,0.963,-8.011000000000001,1,0.0791,0.000283,0.00601,0.0947,0.168,113.073,241706,4,12,0,,47,2020-02-07,19,79,4282078,1,['0nmQIMXWTXfhgOBdNzhGOs'],7,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold
Crossroads,Avenged Sevenfold,4Oq241mV2LEcQsfXQPOfZe,0.43799999999999994,0.945,-8.049,1,0.0753,0.00011100000000000001,8.290000000000001e-05,0.406,0.33899999999999997,180.033,270123,4,12,0,,47,2020-02-07,19,79,4282078,1,['0nmQIMXWTXfhgOBdNzhGOs'],2,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold
Girl I Know,Avenged Sevenfold,7CAdycFxxvZqfSKNsdcVQB,0.515,0.9109999999999999,-7.367999999999999,0,0.0793,0.00041,0.00022799999999999999,0.335,0.451,135.002,264034,4,9,0,,48,2020-02-07,19,79,4282078,1,['0nmQIMXWTXfhgOBdNzhGOs'],2,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold
Laying Low,Danielle Bradbery,7glvtqsLvaVJMehpwNAoS0,0.41,0.295,-8.247,1,0.0369,0.636,1.17e-06,0.141,0.4,147.716,172720,4,8,0,,35,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],5,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
Human Diary,Danielle Bradbery,5HPT6H8sKOhkGZ7TCrTgfY,0.5529999999999999,0.574,-6.662999999999999,0,0.0307,0.11,0.0,0.0872,0.157,106.14200000000001,223440,4,8,0,,42,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],6,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
Hello Summer,Danielle Bradbery,1Py9Urx7hyITkFJJjDZQCm,0.609,0.583,-5.322,1,0.0248,0.13699999999999998,0.0,0.24600000000000002,0.32799999999999996,94.96799999999999,180573,4,10,0,,40,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],6,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
Red Wine + White Couch,Danielle Bradbery,53VQYdLcJSMZcv1ZXcDp5b,0.624,0.647,-4.994,1,0.0438,0.522,3.51e-06,0.11599999999999999,0.584,133.952,189266,4,8,0,,34,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],3,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
Can't Stay Mad,Danielle Bradbery,2caU93YaWxERJpGB0ZXnUw,0.579,0.556,-4.78,0,0.0378,0.00295,0.0,0.0675,0.20600000000000002,104.995,207320,4,9,0,,32,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],2,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
What Are We Doing,Danielle Bradbery,4kLgxi0By3jbFDtVbkLFKK,0.812,0.423,-7.496,1,0.0506,0.6609999999999999,0.0,0.19399999999999998,0.665,108.96799999999999,198893,4,7,0,,36,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],1,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
Sway,Danielle Bradbery,6EUDUDQP5ynE3g5SWCA8sc,0.7,0.706,-5.479,1,0.0265,0.39,0.0,0.366,0.648,97.02799999999999,212280,4,12,0,,61,2017-12-01,5,62,205436,1,['5iqStkZi6QmG8sgQZQrfGN'],3,5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
Reason,Emblem3,0KVPMByDZX7jCM56bakX7T,0.643,0.7959999999999999,-5.977,1,0.0372,0.0273,0.0,0.0783,0.616,85.05799999999999,198186,4,6,0,,23,2014-06-02,0,48,263405,1,['1md9aYaJ6Qt1FHypXICB5V'],7,1md9aYaJ6Qt1FHypXICB5V,Emblem3
Un Amor Eterno,Marc Anthony,3Wx05XUK4VGLYWTChk572f,0.5920000000000001,0.8759999999999999,-3.764,1,0.0295,0.254,5.16e-05,0.121,0.792,157.019,258640,4,13,0,,57,2019-05-10,92,81,4676094,1,['4wLXwxDeWQ8mtUIRPxGiD6'],9,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
Tu Vida en la Mía,Marc Anthony,4jzPGm9YsNvFvpL5as5DVc,0.643,0.8740000000000001,-3.714,1,0.033,0.34600000000000003,0.000299,0.36,0.877,93.494,374053,4,19,0,,65,2019-05-10,92,81,4676094,1,['4wLXwxDeWQ8mtUIRPxGiD6'],2,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
Parecen Viernes,Marc Anthony,0dqfl4l45vqw2TnNrnbsy0,0.6579999999999999,0.863,-3.575,0,0.0352,0.287,1.53e-05,0.16,0.9670000000000001,96.499,268440,4,9,0,,69,2019-05-10,92,81,4676094,1,['4wLXwxDeWQ8mtUIRPxGiD6'],7,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
