artist,artist_id,song_ids,song_names,length,weeksdates
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['1IUtgwxLYzDVd41EgbKUjX', '6gcA4zzG6FnMEgPSDKbAMs', '2eHs8Swb16qSKatrLKnWKP', '1gWnUzwTMhOv4cWyj1CDxB', '01BlGnXpLuC0BjgUxVYZFb', '5L9WFUodzACitS1TiGm7Mi', '7E390nZTMqEbrNC1TmHd42', '5Py8zRKGkZvgHniVVtvNCN', '3O5zp6tOdGFWi0NdzC0frI', '50kpGaPAhYJ3sGmk6vplg0', '4y4spB9m0Q6026KfkAvy9Q', '7sK3nu6yk8urQ44ouEB7Au', '40qyPyljksBEqlNw5sW37T', '4AMnUGvZUVJgDuY7rOPzUZ', '2SnNaoNhMjC1WRMTWD8qTX', '00IH8ZjI9ZGB51WRX1Oesj', '3UGIZ8qcrMTwzLbx6Kttqt', '6eDApnV9Jdb1nYahOlbbUh', '5u1n1kITHCxxp8twBcZxWy', '23UV8pJEvRnAZd6ZAXBC0H', '4bPeekGfzuqkmlpKiJur5o', '61uyGDPJ06MkxJtHgPmuyO', '4xDbvfk975nr05ctWgS8Nq', '7iNIg7XDEaYECfWD5dJ9Va', '0pwYLVXVknPSGUQb39cePC', '7vjtAU3Ns1AT4dRa0voHBJ', '30Co9eN7JHPf1i2wEyVSMJ', '4nTjkWK590oBDcnIxTr1mI', '2ZlCGeK30BLRNSPC832pNZ', '4B0JvthVoAAuygILe3n4Bs', '6epn3r7S14KUqlReYr77hA', '1Mg8vLBYwizu7AuhYQO64V', '7xapw9Oy21WpfEcib2ErSA', '4yWCzA44dQyp0SoeM81bUb', '0aPZbnkMoWJaJ5CNVLCj8S', '3rLIv187BhjyweFe89SgLn', '2IjyFRCRn8x1bEquOM3vxg', '3eYnKe0LhQA1B5HEkQaRTP', '0ffOWJVrYmtKcmQJbPWuhc', '1m6FkAtWVloxIRHKl7pBDP', '0Pd4lsvSDPkcNCxbcz0UeV', '69ghzc538EQSVon2Gm3wrr', '5VwwpU7KsLhgfbMEecedhJ', '190jyVPHYjAqEaOGmMzdyk', '2o9LAypwGH4ctV0i9boo6d', '49rJsV4jSGjCLoks1fvzhP', '6Xw2FLih8m5ItDbyP992HH', '09CtPGIpYB4BrO8qb1RGsF', '1q9pBaYcydq7LyYwD8SEBs', '364dI1bYnvamSnBJ8JcNzN']","['Friends (with BloodPop®)', 'We Are', 'That Should Be Me', 'What Do You Mean?', 'Favorite Girl', 'Trust', 'Baby', 'Habitual', 'Lonely (with benny blanco)', 'Children', 'Been You', 'All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey', 'Bigger', 'No Pressure', 'Forever (feat. Post Malone & Clever)', 'Right Here', 'Pray', 'One Time', 'Beauty And A Beat', 'The Feeling', 'Purpose', 'Love Yourself', 'Down To Earth', 'Company', 'Get Used To It', 'All Around Me', 'Holy (feat. Chance The Rapper)', 'Nothing Like Us', 'First Dance', 'Mark My Words', 'As Long As You Love Me', 'Drummer Boy', 'As Long As You Love Me - Acoustic Version', 'Sorry', ""Turn To You - (Mother's Day Dedication)"", 'Get Me (feat. Kehlani)', 'One Less Lonely Girl', 'The Christmas Song (Chestnuts Roasting On An Open Fire)', 'Mistletoe', 'No Sense', 'U Smile', 'Die In Your Arms', 'Born To Be Somebody', 'Intentions', 'All Around The World', 'Somebody To Love', 'Come Around Me', 'Never Let You Go', 'Boyfriend', 'Life Is Worth Living']",50,"['2020-02-22|378', '2011-03-05|98', '2012-07-07|140', '2011-02-26|96', '2009-11-21|21', '2012-06-16|134', '2011-11-05|113', '2011-11-19|115', '2017-09-09|372', '2015-09-19|228', '2012-06-23|136', '2020-10-31|424', '2009-07-25|2', '2012-04-14|124', '2010-05-29|66', '2012-05-26|130', '2010-03-20|52', '2015-12-05|241', '2011-11-12|114', '2020-02-15|376', '2012-06-30|138', '2015-11-14|236', '2010-02-06|45', '2013-02-16|193', '2010-04-10|58', '2010-04-03|56', '2020-10-03|420', '2009-10-24|13', '2009-12-05|27', '2020-02-29|379']"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['7CEJH5Ed7FBbXF6CqBQPlJ', '7ge7BHazYbVKi8qyZUX1Bm', '6wWaVoUOzLQJHd3bWAUpdZ', '5XJciZ5Bj0IjPrcnNU7gvB', '5nzhL67GpF9szXWg5y509A', '78QR3Wp35dqAhFEc2qAGjE', '4F6yN5FsFW10Ucx7cLCzBh', '6PoKfDY78ih5OveWirggRX', '6A9wHAasMxed0firnDao1K', '52i143Ph5c3RQaQFBXWix1', '3tDqEKKUs6gf8zMvSuLyLA', '01JMnRUs2YOK6DDpdQASGY', '5ixKkLQSriCQakDWbdW8qD', '6gxKUmycQX7uyMwJcweFjp', '577YBGuskWkVDCxZrLRB4v', '2u3EyuCqqV31woqGvO9LBz', '7KSSdFCBHCfq4KPzz78ghk', '3F57PtOdqRpD6euFYqtKXX', '2bSk87AVkCIIC3Bcligq1z', '7cW1wHpSLYgKWzoWlOCPFJ', '6vN77lE9LK6HP2DewaN6HZ', '5m0yZ33oOy0yYBtdTXuxQe', '1yQvL8SzbF5JCroRKk9F07', '0uQzOOq3aC9mszrmLLYoU3', '6AyWdCtEn1DdxjnxPeojR2', '1ZRjLZcNTm1vUgrexBp3px', '39RWYLt6hgk9BbhkDgaHW9', '7roKDmJDOzkpfGpUQJ5EnL', '1Szfm2XAx3Kgl55dyl8sTU', '1RrQK0BIyxZaOooNDVSEaZ', '598yNsG1JFrGd4n2kMoz7F', '6heRfvHrUIIPx9TqRg8SCq', '5lf3ajySox32qFvGEf2TFM', '2wZjsbwmWfNVslgV5afl1L', '16QjPRt5HYK0dnLGmGRCvf', '44gRhRi2OhEf7moAUj6MD1']","['Social Distancing', 'Ready (feat. Gunna)', 'No Sucker (feat. Moneybagg Yo)', 'Live Off My Closet (feat. Future)', 'Word On The Street', 'Business Is Business (Lil Baby & Gunna)', 'Belly (Lil Baby & Gunna)', 'I Am (Lil Baby & Gunna)', 'Time (feat. Meek Mill)', 'Emotionally Scarred', 'Close Friends (Lil Baby & Gunna)', 'Heatin Up (feat. Gunna)', 'We Should (feat. Young Thug)', 'Yes Indeed', 'Out The Mud', 'My Dawg', 'Low Down', 'Never Recover (Lil Baby & Gunna, Drake)', 'Woah', 'Get Ugly', 'We Paid (feat. 42 Dugg)', 'Money Forever', 'Pure Cocaine', 'Deep End (Lil Baby & Gunna)', 'Life Goes On', 'Grace (feat. 42 Dugg)', 'Sum 2 Prove', 'All In', 'Crush A Lot', 'The Bigger Picture', 'Drip Too Hard (Lil Baby & Gunna)', 'Commercial (feat. Lil Uzi Vert)', 'Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV)', 'Humble', 'Southside', 'Global']",36,"['2020-06-27|214', '2019-08-03|134', '2018-12-15|67', '2020-05-09|188', '2020-03-14|156', '2020-05-16|189', '2019-07-06|131', '2018-10-20|37', '2018-05-26|7', '2017-12-30|0', '2020-01-25|143', '2018-06-02|8', '2019-11-23|134']"
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['35mvY5S1H3J2QZyna3TFe0', '6u7gmPOz7pzzaeR9xSBpsR', '5AKlnLpP3WLwZseNbjquND', '2meEiZKWkiN28gITzFwQo5', '7vS3Y0IKjde7Xg85LWIEdP', '3UoULw70kMsiVXxW0L3A33', '2qT1uLXPVPzGgFOx4jtEuo', '4OafepJy2teCjYJbvFE60J', '70yhaHLp9STtzI2Kzba6Tr', '3ko9jEHNt4O5fjKN65ULJp', '4HBZA5flZLE435QTztThqH', '7l94dyN2hX9c6wWcZQuOGJ', '1whfVLMKWqAX3uk97VXsNN', '7xoUc6faLbCqZO6fQEYprd', '1pKeFVVUOPjFsOABub0OaV', '0q85C1JiECyYIQthz1posA', '7E1jVNoWuemqUryI4FxsVD', '3yiopxxeHuwcpAg4e57Zjt', '6NYtLvyThMT0oALFdJFdzq', '5OCJzvD7sykQEKHH7qAC3C', '6ocbgoVGwYJhOv1GgI9NsF', '7Dx9Z6Aon1qPS2N0rHSWTe', '6yL2kTsdVwYnGwPkKGtMd5', '1cdzfFjEbUbgTm5nv3FgXR', '6AviHKu3ydzAePBmzEi62v', '5xDrO9DEDJGUQGfyoHvgDJ', '0WdR2AyLW1Drd3OUdwezM0', '6NmCCgnQcxKHPOAKgd9Nth', '4uTvPEr01pjTbZgl7jcKBD', '442j8VxaB60dWf9cBFuX5w', '4kV4N9D1iKVxx1KLvtTpjS', '6Im9k8u9iIzKMrmV7BWtlF', '14gkWVFMwdxBMyqBw1wmIg', '3wFLWP0FcIqHK1wb1CPthQ', '0lizgQ7Qw35od7CYaoMBZb', '70khXICDeTTxgYtw3EysKH', '1TEL6MlSSVLSdhOSddidlJ', '06EL94D0TA27Ik0Ke5usbj', '5GkQIP5mWPi4KZLLXeuFTT', '5Il6Oe7lr5XM7A0cWbVQtr', '6tsOcBnaKgzK22yEiqRh8P', '2hloaUoRonYssMuqLCBLTX', '5J4ZkQpzMUFojo1CtAZYpn', '0sci7ppTZFm4mjcH3nu8yO', '2vdBo4ALPYbHRUPKgtE5iC', '0sdbFOyfgAhAhWq8DpzkaW', '1xWH8zYtDeS9mW1JJG23VZ', '4T652DlATVHe0jdLKaN3Bw', '14kYOiFVPb7E7NfFbqhdln', '0Ryd8975WihbObpp5cPW1t', '0XOnMqLQDO89iAg7dWWwnG', '6f5TuB9WtbA1g49A4DcMQ4', '27356GVuMPFWiJSZCragoM', '12KUFSHFgT0XCoiSlvdQi4', '2IKJtXeR5UsaUjZB46fTOK']","['Santa Tell Me', 'Love Me Harder', 'Right There', 'love language', 'Stuck with U (with Justin Bieber)', 'make up', 'needy', 'The Way', 'Everyday', 'Let Me Love You', 'bloodline', 'MONOPOLY (with Victoria Monét)', 'the light is coming (feat. Nicki Minaj)', 'Dangerous Woman', 'Side To Side', 'ghostin', 'west side', '34+35', 'bad idea', 'just like magic', 'breathin', 'God is a woman', 'Break Free', 'fake smile', 'everytime', 'shut up', 'NASA', 'Problem', '7 rings', 'Baby I', 'Be Alright', 'positions', 'R.E.M', 'six thirty', 'Last Christmas', 'pov', 'in my head', 'safety net (feat. Ty Dolla $ign)', 'One Last Time', ""break up with your girlfriend, i'm bored"", 'nasty', 'off the table (with The Weeknd)', 'boyfriend (with Social House)', 'Almost Is Never Enough', 'no tears left to cry', 'goodnight n go', 'Popular Song', 'sweetener', 'obvious', 'pete davidson', 'my hair', 'Best Mistake', 'Focus', 'Into You', 'motive (with Doja Cat)']",55,"['2014-05-17|53', '2019-02-02|330', '2014-07-19|62', '2017-03-04|234', '2013-08-24|34', '2013-09-07|37', '2014-12-13|108', '2018-07-28|258', '2016-05-07|168', '2016-09-17|200', '2014-08-30|74', '2019-02-23|337', '2018-05-05|245', '2013-04-13|14', '2020-11-14|454', '2016-05-28|172', '2015-11-21|149', '2014-10-25|92', '2020-11-07|453', '2020-05-23|435', '2018-07-07|254', '2013-08-10|31', '2013-12-07|48', '2016-04-02|162', '2018-09-01|268', '2019-04-13|372', '2016-04-09|163', '2015-02-28|125', '2013-09-21|40', '2019-08-17|412']"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['4j4w4CXm6BSr0s25wAWrrX', '41wtwzCZkXwpnakmwJ239F', '0SqqAgdovOE24BzxIClpjw', '47EiUVwUp4C9fGccaPuUCS', '116H0KvKr2Zl4RPuVBruDO', '5DxXgozhkPLgrbKFY91w0c', '5YOkA7qd2983FtBQnP8sYx', '7sOfmPd18RWp3FoCzpa7Kw', '2TH65lNHgvLxCKXM3apjxI', '6NfrH0ANGmgBXyxgV2PeXt', '2DEZmgHKAvm41k4J3R2E9Y', '38RIEav39FGi86jppxO0du', '75pQqzwgCjUOSSy5CpmAjy']","['Soliá', 'Pero Ya No', 'MIA (feat. Drake)', 'Si Veo a Tu Mamá', 'Ignorantes', 'Bichiyal', 'Solo de Mi', 'Dakiti', 'Callaita', 'La Difícil', 'Yo Perreo Sola', 'Safaera', 'Vete']",13,"['2020-02-29|60', '2019-12-07|49', '2018-10-27|1', '2019-01-12|12', '2020-03-14|62', '2019-06-22|29', '2020-11-14|98']"
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['2h4cmbyb6S7e8igDZIITJU', '6w8vxB8I2QKZupDfxg9QTe', '6w4PV16oMh5I6ZOCvig0hK', '195gauSXE6Q2IKmCrarHut']","['3 Headed Goat (feat. Lil Baby & Polo G)', 'The Voice', 'Stay Down (with 6LACK & Young Thug)', 'Viral Moment']",4,"['2020-11-14|18', '2020-09-19|12', '2020-05-23|1']"
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,"['4mHgYpuGHu99Mw69E83CP2', '2ktxr00GpTtbMNeBjNeY8D', '6uYgCE2OEulOw5zhHvZsHf', '3Kd6Wp3lG5HXMB2dlvuy7y', '5tRa5hnltiyqY63rWOfnO2', '1SxagO9GK0UUeEYLmH8Pln', '0ZPCxNK4DIrF8KqrN3DxfA', '1usK5eLBzpQTMwDt8SR2dr', '0AcicReEGm1qcENjqzh1Tg', '5aXgz1oKK8Q9z9xvTmSnrO', '75lcPkAkUsKWHGBlGM476R', '3YeJXuRSNS5FYwOsDu44kD', '2PI3qpTqYowwMzOSQRuj73', '4e34Qq2lkp92egwgjacVcT', '1FxTz4x5X7ewAICkKhB3kA', '7tgjDlQsMR8RvkdlNCJA58']","['Under Enemy Arms', 'Topanga', 'Who Needs Love', 'Hate Me', 'Love Me More', 'Dark Knight Dummo (Feat. Travis Scott)', 'Weeeeee', 'Snake Skin', 'Toxic Waste', 'Negative Energy', 'Taking A Walk', '1400 / 999 Freestyle', 'Mac 10', 'Death', '6 Kiss', 'Love Scars 3']",16,"['2019-11-30|23', '2020-11-14|34', '2019-12-07|24', '2018-11-10|11', '2018-11-24|13', '2019-08-24|20', '2018-08-25|8', '2017-12-30|1', '2019-06-15|19', '2019-11-16|22']"
Big Sean,0c173mlxpT3dSFRgMO8XPh,"['0URaKGzNTtzKRtsJN1RkA9', '731Pa6Gt7GAdADATMSEL0N', '33gwZOGJWEZ7dRWPqPxBEZ', '2B9wgj9XzbJZLty03PRbVo', '0Fv5N0cHBsl4bzCbollCAS', '4VLTxHOyFX5FRtkpsFm5Pc', '1bzM1cd6oqFozdr4wK6HdR', '7DuvVy7JfFgXwWlVzyyPys', '4TTxJLkM2JWr6NjJji0dFy', '30CZcZ0NpTXjVJJa5X5nwf', '70tFuqBcduJv15bEnOPRTh', '4atJ40xfasjdM9ZF3p07BV', '5xpmdbQcfIOsE1hACcC3UK', '6FXsrAH7Zol1jusSeJIoYA', '46hDiH4YvAWXE04GskkIHS', '1o8jNa1Rsgh0iI9KQKRDHN', '6bxUnsSGZCmoHHU5auwtps', '3wAI7MIQtTgwcRmwchPZBc', '3ZAMtgYJFoHwJjFkhkXqKr', '3rsOs39rDAYxIOrDTHAgR9', '1r0faljjM2b876iNoaDUh5', '1MksGqIztTT6M9R1ErKVs8', '1jQsKN68yE94tMYml0wHMd', '7IP0lO9tHfNwBWZ9X6TJ84', '5VKsvhjnjQ3IAspPjGiNPf', '1u0MOgWF1bbylVxpJG2ZjB']","['Pull Up N Wreck (& Metro Boomin)', 'Marvin & Chardonnay', 'No Favors', 'One Man Can Change The World', 'Paradise - Extended', 'Wolves (feat. Post Malone)', 'Sacrifices', 'Deep Reverence', 'Why Would I Stop?', 'High', 'Play No Games', 'Dance (A$$) Remix', 'Owe Me', 'Light', 'Jump Out The Window', 'All Your Fault', 'Blessings', 'Bezerk (feat. A$AP Ferg)', 'My Last', 'Go Legend (& Metro Boomin)', 'Halfway Off The Balcony', 'Single Again', 'Moves', 'Lithuania (feat. Travis Scott)', 'Body Language (feat. Ty Dolla $ign, and Jhené Aiko)', 'Beware']",26,"['2011-08-06|18', '2019-08-10|222', '2015-03-14|123', '2017-12-30|221', '2011-03-19|0', '2020-09-19|226', '2019-09-14|225', '2015-02-21|117', '2017-11-25|220', '2015-07-18|148', '2011-07-16|14', '2013-07-13|78', '2011-10-22|33', '2017-01-14|178', '2017-02-25|190']"
Lil Wayne,55Aa2cqylxrFIXC767Z865,"['2DnH4XlEkghUdE8ymdVom5', '0CBQ0m3mufWH75LTYB3s6h', '50mX6QmpQX4cCsRYJ9fGM3', '7HaggpJGAfEgH8wyMLOIPl', '6ScJMrlpiLfZUGtWp4QIVt', '0Y7di9ZCmB6Elad5WISaPc', '5f9JYuHSIHjp6rggue13RS', '5s6pKnF3ZPtuqvEx1i1V7U', '7rdjfrTBMNt3KaaGvSv3YG', '0EHR9OObFtjlhQB8wSt1m7', '3JX0dOCIAiaR8MP3ryXWuM', '610FzmkhFSsORpECZbjT4X', '3BUWNzPWz2mDbptZmGEXpB', '00NUqFMIpCsrYPbM9YpVHQ', '58PWl2rA7lU90UBvDufzWm', '6wqWfSOZvTK18SAczoYm1L', '7EgI0dCaQuHFe3OTj5EpWI', '68lOQPb5tX8U2cQRuas0L2', '7fxzl4qyZBDnLkcsfire2j', '3e21cX0CVwzkQXiHz7WUQZ', '46lIt6GmL0VkkbuUyGDbCs', '7cG6SxmQ24hQWnR8UThrk2', '1WGguXX9FkzBHeLb5ISfgg', '4E3qImtJzRqLt8ZZyLceOE', '0h6sfKXFb641F2E13rY4f2', '6y4pOReFqH2wzo4CV91cZC', '1lIVUZkvFCQy4wxSvNF2LE', '3wScL5W8H40zzCKN0atfBk', '7tGlzXJv6GD5e5qlu5YmDg', '4aX4Oycsk1fhHIee1zqsDe', '5DjLed65sri5juDG6kdPPK', '6t2eIONH4Sax3R21QWiKNp', '7rOC38CapytIWabBApuuCG', '4dASQiO1Eoo3RJvt74FtXB', '0ubdf6zWT1It2saK41SkO0', '5o5KX1f1JBQ2SxGzE8RQQA', '1Dk3CfJEtqvj7Xg2AWwfEn', '1kMuU3TNQvHbqvXCWBodmP', '5IvdLxVB8gwwcgnEkXSSW2', '2ZoKMVQaFYnOsKeHbzSqLy', '0lyYVubxulG0uUPOVCQj0Z', '1bRO28yzxgO3y3UmNR29TZ', '2334WaCjswLcRIRgTTPWaZ', '05r1GGg1Rhs0RcUg27C82a', '05pdoheuKPSotkjMgIVX6I', '6v2eEC9Nr9POe5xPUm8361', '6x4m0Q6kqRnhslFRoGO3mA', '4P7VFiaZb3xrXoqGwZXC3J', '1DDsYldutVWnRrRbZc5X5B', '7K8vPC3GPWafq2zXHuUGXz', '2k79z9A1dbdQ8gQG8M1Zz5']","['American Star', 'Nothing but Trouble - Instagram Models', 'Used 2', 'Problems', 'Funeral', 'Lollipop', 'Open Letter', 'What About Me (feat. Sosamann)', '3 Peat', 'John', 'Prom Queen', 'Took His Time', 'Blunt Blowin', 'Way Of Life', 'I Do It (ft. Big Sean, Lil Baby)', 'Love Me', 'Hustler Musik', 'Knockout', 'Uproar', 'How To Love', 'A Milli', 'Mess', 'Open Safe', 'Dark Side Of The Moon (feat. Nicki Minaj)', 'On Fire', 'Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'Start This Shit Off Right (feat. Ashanti & Mack Maine)', 'Mirror', 'Right Above It', 'President Carter', 'MegaMan', 'Bill Gates', ""You Ain't Got Nuthin"", 'Mrs. Officer', 'Mama Mia', 'Gonorrhea', 'Mahogany', 'Let It All Work Out', 'Perfect Strangers', 'Shine', 'Dedicate', ""It's Good"", 'Drop The World', 'Hittas', 'Let It Fly (feat. Travis Scott)', ""What's Wrong With Them"", 'How To Hate', 'Got Money', 'Believe Me', 'Famous (feat. Reginae Carter)', 'Dope New Gospel (feat. Nivea)']",51,"['2011-04-09|250', '2006-04-29|50', '2001-09-22|0', '2010-01-16|187', '2008-06-21|74', '2016-07-16|426', '2020-02-15|477', '2013-02-02|374', '2002-07-06|1', '2008-06-14|72', '2009-12-26|185', '2010-10-16|217', '2010-02-20|192', '2008-05-10|62', '2015-10-03|419', '2018-10-13|448', '2011-06-11|266', '2008-09-06|119', '2008-03-29|56', '2011-09-17|292', '2009-02-14|172', '2008-06-28|78', '2014-06-14|399']"
Luke Combs,718COspgdWOnwOFpJHRZHS,"['226le7T3p82reYWzsi9Hsz', '3zxAw8PaqpeGZ3Pakkxv3J', '0nGXi46VcQQ56ZJR428MKS', '6IBcOGPsniK3Pso1wHIhew', '698eQRku24PIYPQPHItKlA', '0nYvjcSlCgjcwogQAwIwNp', '5Fhe63YOMZsGdB3CgCDuBi', '2rxQMGVafnNaRaXlRMWPde', '7aEtlGHoiPAfRB084NiDmx', '4gB7HrYHbJVJ5RFOjxmoq4', '7IWV29mryrqtO0JVgnPtfv', '6gdLyYNuhWBzqwlOFSsXC7', '6xHI9KjUjYT0FPtGO8Mxa1', '3aMUiKCIXJeurR5ppEMJZD', '1mMLMZYXkMueg65jRRWG1l', '0jcZ1uIHmvh6Is9T6hXOUk']","[""Even Though I'm Leaving"", 'Six Feet Apart', 'Forever After All', 'The Other Guy', 'Beautiful Crazy', 'Better Together', 'Cold As You', 'Beer Never Broke My Heart', 'Hurricane', 'Without You', 'She Got the Best of Me', ""Lovin' On You"", 'Does To Me (feat. Eric Church)', '1, 2 Many', 'When It Rains It Pours', 'One Number Away']",16,"['2020-03-28|166', '2017-08-19|25', '2019-05-18|113', '2019-09-28|140', '2020-11-07|207', '2020-07-11|183', '2019-06-22|123', '2020-10-03|199', '2018-05-19|52', '2018-08-25|69', '2018-03-31|45', '2020-05-16|173', '2017-03-04|3', '2019-11-23|151']"
Saweetie,6cK3NBO6uP7hh0oyuVELFl,"['4Hpib09wXgD84w4uwTPnYD', '3MEruRteiUZXkStfTlZqRn', '5KBARWIxeMGkvUax9VtVC9']","['Tap In', 'My Type', 'Back to the Streets (feat. Jhené Aiko)']",3,"['2019-07-13|1', '2020-11-07|36', '2020-07-25|21']"
