name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
34+35,Ariana Grande,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173710,4,10,1,2020-11-14,90,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Dakiti,Bad Bunny,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,10,1,2020-11-14,95,2020-10-30,98,99,27598025,2,"['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",4,4q3ewBCX7sLwd24euuV69X,Bad Bunny
motive (with Doja Cat),Ariana Grande,5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,-5.664,0,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,167989,4,8,1,2020-11-14,87,2020-10-30,454,99,56616101,2,"['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5']",10,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
off the table (with The Weeknd),Ariana Grande,7E1jVNoWuemqUryI4FxsVD,0.41100000000000003,0.522,-7.295,1,0.0981,0.519,0.0,0.39799999999999996,0.382,88.33200000000002,239949,1,9,1,2020-11-14,84,2020-10-30,454,99,78065683,2,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']",0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
pov,Ariana Grande,3UoULw70kMsiVXxW0L3A33,0.48700000000000004,0.534,-5.664,0,0.0555,0.36,0.0,0.1,0.17300000000000001,131.798,201882,4,9,1,2020-11-14,85,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
just like magic,Ariana Grande,7Dx9Z6Aon1qPS2N0rHSWTe,0.7190000000000001,0.607,-5.1560000000000015,1,0.165,0.08,0.0,0.125,0.46399999999999997,128.006,149900,4,7,1,2020-11-14,84,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],8,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
shut up,Ariana Grande,3ko9jEHNt4O5fjKN65ULJp,0.499,0.462,-5.308,1,0.0312,0.8009999999999999,0.0,0.0946,0.599,127.698,157710,4,7,1,2020-11-14,83,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
nasty,Ariana Grande,0sci7ppTZFm4mjcH3nu8yO,0.772,0.506,-6.558,0,0.139,0.0814,1.1e-05,0.182,0.456,127.89399999999999,200732,4,12,1,2020-11-14,83,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],6,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
safety net (feat. Ty Dolla $ign),Ariana Grande,14gkWVFMwdxBMyqBw1wmIg,0.552,0.599,-5.75,0,0.0404,0.0703,0.0,0.0986,0.0916,161.884,208457,4,7,1,2020-11-14,84,2020-10-30,454,99,56069229,2,"['66CXWjxzNUsdJxJ2JdwvnR', '7c0XG5cIJTrrAgEC3ULPiq']",1,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
six thirty,Ariana Grande,2IKJtXeR5UsaUjZB46fTOK,0.7390000000000001,0.516,-7.154,1,0.0539,0.67,0.0,0.151,0.434,120.109,183874,4,10,1,2020-11-14,82,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
