name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Santa Baby,Ariana Grande,6YJdPrH3i2POzu7hdHIRrb,0.748,0.778,-5.752,1,0.137,0.0501,0.0,0.284,0.777,95.989,170933,4,5,0,,73,2013-01-01,0,100,53074694,2,"['66CXWjxzNUsdJxJ2JdwvnR', '7pLntWGInZPQxc4kXxzzjB']",0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
successful,Ariana Grande,5YeHLHDdQ4nKHk81XFWhCU,0.847,0.603,-4.607,0,0.0397,0.107,7.4e-06,0.106,0.735,114.045,227386,4,13,0,,69,2018-08-17,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Greedy,Ariana Grande,2tpIAmAq9orm1Owh5pja1w,0.619,0.705,-5.335,1,0.099,0.0323,0.0,0.0919,0.844,109.975,214906,4,7,0,,69,2016-05-20,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],1,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
better off,Ariana Grande,3NbTQ8ZbHU6MSEVUFAVCJ9,0.597,0.524,-7.247,1,0.0537,0.216,0.0,0.112,0.0549,92.568,171333,4,7,0,,67,2018-08-17,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],11,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
raindrops (an angel cried),Ariana Grande,0v2LUO8oTHnkjQ8MmKuXyk,0.336,0.231,-6.217,1,0.0497,0.942,0.0,0.188,0.429,168.685,37640,5,2,0,,67,2018-08-17,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],1,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Moonlight,Ariana Grande,4TZdeM7zelZGz6JPrXSEZ1,0.633,0.412,-7.339,1,0.0284,0.42,3.57e-06,0.048,0.214,102.215,202360,3,12,0,,67,2016-05-20,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],9,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Winter Things,Ariana Grande,1jhljxXlHw8K9rezXKrnow,0.639,0.219,-10.204,1,0.0717,0.93,0.0,0.227,0.797,74.739,158720,4,6,0,,65,2015-12-18,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
get well soon,Ariana Grande,7u6DMPznGbpziuEgCE0JGQ,0.604,0.449,-6.564,0,0.0353,0.657,0.0,0.0932,0.528,100.355,322026,4,10,0,,66,2018-08-17,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],9,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Just A Little Bit Of Your Heart,Ariana Grande,5lvnGiTAH9BVlJLHc0DXZz,0.439,0.322,-5.959,1,0.028,0.692,0.0,0.103,0.16,77.963,232586,4,10,0,,68,2014-08-25,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],9,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
December,Ariana Grande,7zrhy9OhtcO7MdIvbbJiOa,0.71,0.396,-11.247,0,0.0843,0.492,0.0,0.221,0.63,89.941,116266,4,7,0,,64,2015-12-18,0,100,53062576,1,['66CXWjxzNUsdJxJ2JdwvnR'],11,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
