name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year
We Need A Little Christmas,Idina Menzel,51d0t5OcUBxwfyvhzgOCWG,0.48,0.598,-7.35,0,0.0833,0.5660000000000001,0.0,0.304,0.52,132.388,196226,4,9,0,,0,2020-11-23,1,77,316163,1,['73Np75Wv2tju61Eo9Zw4IR'],0,73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,2020
That's The Way Love Goes,Various Artists,5uCo4Vrxbgaw5BMTTj0XEh,0.6709999999999999,0.879,-4.063,1,0.0693,0.11699999999999999,0.302,0.0835,0.552,97.65899999999999,266346,4,9,0,,0,2020-11-23,16,71,2258459,1,['4qwGe91Bz9K2T8jXTZ815W'],5,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,2020
Mi Persona Favorita,Various Artists,3m11fpBbMuN86yiLgKBThx,0.581,0.659,-7.511,1,0.11599999999999999,0.5379999999999999,0.0,0.0656,0.5770000000000001,155.945,239972,4,7,0,,0,2020-11-23,0,87,23476779,2,"['5sUrlPAHlS9NEirDB8SEbF', '4nDoRrQiYLoBzwC5BhVJzF']",8,5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,2020
Hello,Various Artists,51KsgdeWRFW8ws8kcsMUMi,0.509,0.537,-8.695,0,0.0361,0.24100000000000002,2.57e-06,0.10800000000000001,0.159,124.15100000000001,270466,4,10,0,,0,2020-11-23,35,75,2097972,2,"['3gMaNLQm7D9MornNILzdSl', '2WV4xLQooFalR2cit0XSKp']",9,3gMaNLQm7D9MornNILzdSl,Lionel Richie,2020
Vibez (A #BlackOwnedFriday Jingle),Wyclef Jean,4j92bB3oxTWBkS4LxNM7C2,0.8540000000000001,0.585,-10.818,0,0.17600000000000002,0.114,1.67e-06,0.126,0.85,99.99700000000001,62205,4,3,0,,0,2020-11-22,37,73,229079,1,['7aBzpmFXB4WWpPl2F7RjBe'],0,7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,2020
Where You Wanna Be,Various Artists,4n9meKqPJuwCT4AEBjStWp,0.616,0.6,-8.164,0,0.0466,0.45299999999999996,2.4100000000000003e-05,0.14800000000000002,0.778,76.99,212626,4,8,0,,0,2020-11-20,113,71,1882734,1,['05oH07COxkXKIMt6mIPRee'],2,05oH07COxkXKIMt6mIPRee,Brandy,2020
Selection,Lil Tecca,27T7FohkFw60N5hF8inicb,0.659,0.6829999999999999,-8.419,1,0.105,0.0548,3.05e-05,0.14,0.887,86.006,100773,4,5,0,,22,2020-11-20,8,84,10755154,3,"['4Ga1P7PMIsmqEZqhYZQgDo', '5he5w2lnU9x7JFhnwcekXX', '1m7LSAMIB1BErIHYSOn32W']",8,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2020
God Bless America,Various Artists,4VETwYFeLLwkSMXhaT8jyI,0.536,0.27399999999999997,-8.451,1,0.0273,0.7609999999999999,0.0,0.133,0.5760000000000001,73.633,73130,4,4,0,,0,2020-11-20,0,62,846976,1,['0oBEeN6BCxEgMogzThqrPf'],9,0oBEeN6BCxEgMogzThqrPf,Big & Rich,2020
Take,Augustana,2h9ZsL3usjina4FIHGPIPv,0.73,0.43700000000000006,-14.26,1,0.0431,0.3,3.92e-06,0.344,0.583,111.96799999999999,212008,4,8,0,,34,2020-11-20,24,55,181814,1,['61YE3whKiuRr83j1yOm5M7'],4,61YE3whKiuRr83j1yOm5M7,Augustana,2020
The Lighthouse Keeper,Sam Smith,2WUVQQAsWvScEdBVilRYaR,0.39399999999999996,0.17,-10.368,1,0.0451,0.889,0.0,0.105,0.315,130.721,247493,3,11,0,,66,2020-11-20,219,92,14407955,1,['2wY79sveU1sp5g7SokKOiI'],0,2wY79sveU1sp5g7SokKOiI,Sam Smith,2020
The Bottom,Various Artists,7uG5eVOpH9eeDoHZiOI1PK,0.573,0.782,-3.622,1,0.0523,0.00035800000000000003,0.007659999999999999,0.0798,0.42700000000000005,137.983,255520,4,8,0,,0,2020-11-20,142,69,1656763,1,['5KDIH2gF0VpelTqyQS7udb'],6,5KDIH2gF0VpelTqyQS7udb,Staind,2020
Drinkin' Dark Whiskey,Gary Allan,4n6aKporCklkN4awoLpcG8,0.479,0.95,-4.092,1,0.158,0.0755,0.0,0.0716,0.677,173.921,181560,4,10,0,,10,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],2,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
Don't Tell Mama,Gary Allan,2qW0G4izVR0lcFpdxbaTmh,0.461,0.5,-7.912999999999999,1,0.0272,0.5489999999999999,1.7100000000000002e-05,0.0973,0.361,94.725,236666,4,12,0,,10,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],5,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
It Would Be You,Gary Allan,7khkDxtgme5khLDW2jDtoF,0.5579999999999999,0.5579999999999999,-5.513999999999999,1,0.0362,0.456,0.0,0.0826,0.276,140.715,174386,4,10,0,,11,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],7,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
Bourbon Borderline,Gary Allan,32kC0U0a2MwYccgaYQNVTD,0.36700000000000005,0.426,-7.41,1,0.0321,0.7020000000000001,1.46e-06,0.11800000000000001,0.311,154.34,168017,4,7,0,,10,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],6,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
Polvo,Nicky Jam,68mrW6gXHgupgSiDHgaDi5,0.763,0.621,-6.169,0,0.066,0.0105,2.94e-06,0.106,0.5820000000000001,82.042,211130,4,5,0,,70,2020-11-20,30,95,16797220,2,"['1SupJlEpv7RS2tPNRaHViT', '7iK8PXO48WeuP03g8YR51W']",11,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,2020
