name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year,chart_year
Youth of the Nation,P.O.D.,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,-7.532999999999999,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240,4,8,1,2002-02-09,71,2001-09-11,14,67,1346520,1,['6KO6G41BBLTDNYOLefWTMU'],8,6KO6G41BBLTDNYOLefWTMU,P.O.D.,2001,
Drift And Die,Puddle Of Mudd,4YetrvKdYwgQANVedMth3F,0.434,0.845,-4.316,1,0.0352,0.00554,0.0,0.11,0.332,96.073,265066,4,9,1,2002-05-25,51,2001-01-01,41,67,1280986,1,['3dXaa6jwM7B52GZpaJEIr5'],11,3dXaa6jwM7B52GZpaJEIr5,Puddle Of Mudd,2001,
Aerials,System Of A Down,4e9eGQYsOiBcftrWXwsVco,0.364,0.922,-4.217,0,0.0566,0.000918,0.035,0.0696,0.227,79.342,235053,4,7,1,2002-08-17,74,2001-09-04,33,83,6629606,1,['5eAWCfyUhZtHHtBdNk56l1'],0,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,2001,
Dig In,Lenny Kravitz,0mBmE1IzBpbhfwEU4nd4ew,0.6709999999999999,0.9209999999999999,-3.878,1,0.0291,0.0129,0.0235,0.0579,0.825,118.42399999999999,217533,4,14,1,2001-10-13,45,2001-01-01,85,74,2081519,1,['5gznATMVO85ZcLTkE9ULU7'],9,5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz,2001,
Love at First Sight,Kylie Minogue,6ua8mbyHXTHpAmGyGpFAS2,0.603,0.774,-6.066,0,0.0428,0.0288,0.051,0.0533,0.48,124.994,238266,4,10,1,2002-06-29,50,2001-10-01,0,77,1134902,1,['4RVnAU35WRWra6OZ3CbbMA'],3,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,2001,
Wait a Minute (feat. Lil' Kim),Ray J,7xwFOVYwBuLvFquLyfooRp,0.89,0.701,-4.954,1,0.205,0.0681,0.0,0.243,0.728,100.01799999999999,227266,4,9,1,2001-05-26,39,2001-06-19,0,71,1720685,2,"['6gbGGM0E8Q1hE511psqxL0', '5tth2a3v0sWwV1C7bApBdX']",7,6gbGGM0E8Q1hE511psqxL0,Ray J,2001,
Brotha,Angie Stone,2sNAjuCXxyj8jHt93t9IJ9,0.8009999999999999,0.434,-9.174,0,0.376,0.5379999999999999,0.0,0.0729,0.6609999999999999,132.254,268133,4,14,1,2001-11-10,48,2001-10-16,17,59,442931,1,['2hWr3AjjKOCVmWcwvuT4uM'],7,2hWr3AjjKOCVmWcwvuT4uM,Angie Stone,2001,
Missing You,Case,0CmXXEwul09Kf8X68lPA5l,0.612,0.579,-6.4170000000000025,0,0.0553,0.285,0.0,0.0556,0.716,86.31,284666,4,12,1,2001-02-10,54,2001-01-01,34,60,544485,1,['5aEWnrN8h3MhuFUPRfaVuy'],1,5aEWnrN8h3MhuFUPRfaVuy,Case,2001,
Caramel,City High,5dXmPzPDTMWmxmpzxAV1JZ,0.8009999999999999,0.66,-8.267000000000001,0,0.28600000000000003,0.175,9.5e-06,0.0748,0.295,93.036,212293,4,10,1,2001-10-13,47,2001-01-01,28,70,801612,2,"['0LlPal5iJGcCWwZp8VefVs', '4d3yvTptO48nOYTPBcPFZC']",5,0LlPal5iJGcCWwZp8VefVs,City High,2001,
Pour Me,Trick Pony,2enprHJA0siL33w7TaN7VH,0.484,0.905,-3.9930000000000003,1,0.135,0.0936,0.0,0.28600000000000003,0.767,182.058,172000,4,9,1,2001-02-03,44,2001-01-01,0,37,118645,1,['1Tdrtr2WwDDde01GJllidM'],10,1Tdrtr2WwDDde01GJllidM,Trick Pony,2001,
Midwest Swing,St. Lunatics,3NjAxulzcqR9riwzAnoN7p,0.846,0.58,-6.5329999999999995,0,0.0432,0.0346,4.5299999999999997e-05,0.285,0.271,94.945,275388,4,12,1,2001-06-30,44,2001-06-05,0,41,99124,1,['6rxiUsSvkn5yTs1kfuV8Le'],10,6rxiUsSvkn5yTs1kfuV8Le,St. Lunatics,2001,
Running,No Doubt,3GsbGZHKjSk4PLr3HXfcoo,0.691,0.61,-7.023,1,0.0275,0.189,2.380000000000001e-05,0.0885,0.363,113.127,240466,4,10,1,2003-03-29,42,2001-12-11,84,71,1750340,1,['0cQbJU1aAzvbEmTuljWLlF'],0,0cQbJU1aAzvbEmTuljWLlF,No Doubt,2001,
"Girls, Girls, Girls",JAY-Z,0vzb8Ii9B2fP9c0POFGPOZ,0.509,0.9520000000000001,-4.444,0,0.336,0.14400000000000002,0.0,0.135,0.7,83.068,275373,4,15,1,2001-10-13,54,2001-09-11,69,87,5713670,1,['3nFkdlSjzX9mRTtwJOzDYB'],2,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,2001,
Break Ya Neck,Busta Rhymes,7gKgd0P3dAAePiSQQBqrlf,0.82,0.809,-6.7589999999999995,0,0.251,0.44299999999999995,0.00175,0.0613,0.737,83.01100000000002,231240,4,14,1,2001-11-10,70,2001-11-07,20,80,1624013,1,['1YfEcTuGvBQ8xSD1f53UnK'],4,1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,2001,
No Such Thing,John Mayer,6Vecwo7AHst9V2CE3kmwr0,0.6679999999999999,0.7390000000000001,-4.919,1,0.0308,0.0383,0.0,0.13,0.5710000000000001,131.918,231466,4,9,1,2002-06-01,65,2001-08-16,0,84,4770134,1,['0hEurMDQu99nJRq8pTxO14'],4,0hEurMDQu99nJRq8pTxO14,John Mayer,2001,
Video,India.Arie,4oiAlcisfimXQc1wyAtX9a,0.652,0.604,-8.766,0,0.22699999999999998,0.111,1.01e-05,0.0409,0.675,170.003,249960,4,14,1,2001-03-31,61,2001-01-01,0,62,638159,1,['7Gf3LSwa5hh8Cjo60WhVjC'],9,7Gf3LSwa5hh8Cjo60WhVjC,India.Arie,2001,
My Sacrifice,Creed,2VSbEXqs6NbNiZSTcHlIDR,0.32,0.88,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,294600,4,9,1,2001-10-27,70,2001-01-01,124,71,1998212,1,['43sZBwHjahUvgbx1WNIkIz'],2,43sZBwHjahUvgbx1WNIkIz,Creed,2001,
Goodbye to You,Michelle Branch,6NSJOIyKYcRZh28Kf0URTw,0.504,0.556,-6.19,1,0.0263,0.28800000000000003,0.000246,0.173,0.276,81.008,251200,4,8,1,2002-08-31,57,2001-07-31,48,62,435672,1,['5rScKX1Sh1U67meeUyTGwk'],8,5rScKX1Sh1U67meeUyTGwk,Michelle Branch,2001,
My Projects,Coo Coo Cal,441GE9dbg9H0RIzGiF01dM,0.882,0.81,-5.9570000000000025,0,0.22,0.0626,3.84e-06,0.102,0.79,95.32799999999999,225026,4,14,1,2001-08-04,37,2001-09-18,0,28,2946,1,['1nK08sVhhZ5JnkFaRvNrmB'],4,1nK08sVhhZ5JnkFaRvNrmB,Coo Coo Cal,2001,
