artist,artist_id,song_ids,song_names,length,weeksdates
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['190jyVPHYjAqEaOGmMzdyk', '2eHs8Swb16qSKatrLKnWKP', '4AMnUGvZUVJgDuY7rOPzUZ', '6epn3r7S14KUqlReYr77hA', '0pwYLVXVknPSGUQb39cePC', '1IUtgwxLYzDVd41EgbKUjX', '50kpGaPAhYJ3sGmk6vplg0', '30Co9eN7JHPf1i2wEyVSMJ', '1gWnUzwTMhOv4cWyj1CDxB', '4y4spB9m0Q6026KfkAvy9Q', '2SnNaoNhMjC1WRMTWD8qTX', '00IH8ZjI9ZGB51WRX1Oesj', '2ZlCGeK30BLRNSPC832pNZ', '364dI1bYnvamSnBJ8JcNzN', '7vjtAU3Ns1AT4dRa0voHBJ', '49rJsV4jSGjCLoks1fvzhP', '7xapw9Oy21WpfEcib2ErSA', '2IjyFRCRn8x1bEquOM3vxg', '6gcA4zzG6FnMEgPSDKbAMs', '0Pd4lsvSDPkcNCxbcz0UeV', '4B0JvthVoAAuygILe3n4Bs', '1Mg8vLBYwizu7AuhYQO64V', '4bPeekGfzuqkmlpKiJur5o', '09CtPGIpYB4BrO8qb1RGsF', '7E390nZTMqEbrNC1TmHd42', '3eYnKe0LhQA1B5HEkQaRTP', '61uyGDPJ06MkxJtHgPmuyO', '5u1n1kITHCxxp8twBcZxWy', '6Xw2FLih8m5ItDbyP992HH', '0ffOWJVrYmtKcmQJbPWuhc', '40qyPyljksBEqlNw5sW37T', '5VwwpU7KsLhgfbMEecedhJ', '23UV8pJEvRnAZd6ZAXBC0H', '3rLIv187BhjyweFe89SgLn', '7iNIg7XDEaYECfWD5dJ9Va', '3O5zp6tOdGFWi0NdzC0frI', '1q9pBaYcydq7LyYwD8SEBs', '5Py8zRKGkZvgHniVVtvNCN', '01BlGnXpLuC0BjgUxVYZFb', '4xDbvfk975nr05ctWgS8Nq', '0aPZbnkMoWJaJ5CNVLCj8S', '4yWCzA44dQyp0SoeM81bUb', '2o9LAypwGH4ctV0i9boo6d', '6eDApnV9Jdb1nYahOlbbUh', '3UGIZ8qcrMTwzLbx6Kttqt', '1m6FkAtWVloxIRHKl7pBDP', '7sK3nu6yk8urQ44ouEB7Au', '4nTjkWK590oBDcnIxTr1mI', '69ghzc538EQSVon2Gm3wrr', '5L9WFUodzACitS1TiGm7Mi']","['We Are', 'Forever (feat. Post Malone & Clever)', 'All Around The World', 'First Dance', 'Been You', 'No Sense', 'Down To Earth', 'Never Let You Go', 'Drummer Boy', 'The Feeling', 'Trust', 'Die In Your Arms', 'Holy (feat. Chance The Rapper)', 'Somebody To Love', 'That Should Be Me', 'As Long As You Love Me', 'The Christmas Song (Chestnuts Roasting On An Open Fire)', 'Right Here', 'Pray', 'Company', 'Purpose', 'Get Used To It', 'Mistletoe', 'One Less Lonely Girl', 'Nothing Like Us', 'Life Is Worth Living', 'No Pressure', ""Turn To You - (Mother's Day Dedication)"", 'Friends (with BloodPop®)', 'Children', 'Born To Be Somebody', 'One Time', 'Get Me (feat. Kehlani)', 'Favorite Girl', 'Come Around Me', 'What Do You Mean?', 'All Around Me', 'Lonely (with benny blanco)', 'Intentions', 'Baby', 'Bigger', 'Love Yourself', 'As Long As You Love Me - Acoustic Version', 'Boyfriend', 'All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey', 'U Smile', 'Mark My Words', 'Habitual', 'Sorry', 'Beauty And A Beat']",50,"['2013-02-16|193', '2015-12-05|241', '2010-04-10|58', '2010-05-29|66', '2009-10-24|13', '2011-11-05|113', '2020-02-29|379', '2012-05-26|130', '2020-02-22|378', '2010-04-03|56', '2020-10-03|420', '2009-07-25|2', '2012-06-30|138', '2012-06-16|134', '2010-02-06|45', '2017-09-09|372', '2015-11-14|236', '2012-04-14|124', '2011-11-19|115', '2012-07-07|140', '2011-03-05|98', '2009-11-21|21', '2010-03-20|52', '2011-02-26|96', '2020-10-31|424', '2012-06-23|136', '2011-11-12|114', '2015-09-19|228', '2009-12-05|27', '2020-02-15|376']"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['3F57PtOdqRpD6euFYqtKXX', '3tDqEKKUs6gf8zMvSuLyLA', '5ixKkLQSriCQakDWbdW8qD', '44gRhRi2OhEf7moAUj6MD1', '1ZRjLZcNTm1vUgrexBp3px', '7ge7BHazYbVKi8qyZUX1Bm', '6gxKUmycQX7uyMwJcweFjp', '6A9wHAasMxed0firnDao1K', '6heRfvHrUIIPx9TqRg8SCq', '2bSk87AVkCIIC3Bcligq1z', '5lf3ajySox32qFvGEf2TFM', '52i143Ph5c3RQaQFBXWix1', '7cW1wHpSLYgKWzoWlOCPFJ', '6vN77lE9LK6HP2DewaN6HZ', '6PoKfDY78ih5OveWirggRX', '1Szfm2XAx3Kgl55dyl8sTU', '0uQzOOq3aC9mszrmLLYoU3', '6wWaVoUOzLQJHd3bWAUpdZ', '7KSSdFCBHCfq4KPzz78ghk', '39RWYLt6hgk9BbhkDgaHW9', '1yQvL8SzbF5JCroRKk9F07', '6AyWdCtEn1DdxjnxPeojR2', '7CEJH5Ed7FBbXF6CqBQPlJ', '7roKDmJDOzkpfGpUQJ5EnL', '1RrQK0BIyxZaOooNDVSEaZ', '4F6yN5FsFW10Ucx7cLCzBh', '78QR3Wp35dqAhFEc2qAGjE', '16QjPRt5HYK0dnLGmGRCvf', '2wZjsbwmWfNVslgV5afl1L', '598yNsG1JFrGd4n2kMoz7F', '01JMnRUs2YOK6DDpdQASGY', '577YBGuskWkVDCxZrLRB4v', '2u3EyuCqqV31woqGvO9LBz', '5m0yZ33oOy0yYBtdTXuxQe', '5XJciZ5Bj0IjPrcnNU7gvB', '5nzhL67GpF9szXWg5y509A']","['Sum 2 Prove', 'Social Distancing', 'Close Friends (Lil Baby & Gunna)', 'Ready (feat. Gunna)', 'Southside', 'Get Ugly', 'Life Goes On', 'Commercial (feat. Lil Uzi Vert)', 'My Dawg', 'We Paid (feat. 42 Dugg)', 'Crush A Lot', 'Woah', 'Low Down', 'No Sucker (feat. Moneybagg Yo)', 'Drip Too Hard (Lil Baby & Gunna)', 'The Bigger Picture', 'Emotionally Scarred', 'Word On The Street', 'Never Recover (Lil Baby & Gunna, Drake)', 'Out The Mud', 'Heatin Up (feat. Gunna)', 'Humble', 'Belly (Lil Baby & Gunna)', 'I Am (Lil Baby & Gunna)', 'All In', 'Deep End (Lil Baby & Gunna)', 'Business Is Business (Lil Baby & Gunna)', 'Time (feat. Meek Mill)', 'Grace (feat. 42 Dugg)', 'We Should (feat. Young Thug)', 'Global', 'Live Off My Closet (feat. Future)', 'Pure Cocaine', 'Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV)', 'Money Forever', 'Yes Indeed']",36,"['2018-06-02|8', '2018-10-20|37', '2017-12-30|0', '2019-11-23|134', '2019-08-03|134', '2020-06-27|214', '2019-07-06|131', '2018-05-26|7', '2018-12-15|67', '2020-03-14|156', '2020-05-16|189', '2020-05-09|188', '2020-01-25|143']"
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['0lizgQ7Qw35od7CYaoMBZb', '4uTvPEr01pjTbZgl7jcKBD', '0XOnMqLQDO89iAg7dWWwnG', '6ocbgoVGwYJhOv1GgI9NsF', '0q85C1JiECyYIQthz1posA', '6Im9k8u9iIzKMrmV7BWtlF', '7l94dyN2hX9c6wWcZQuOGJ', '4T652DlATVHe0jdLKaN3Bw', '6u7gmPOz7pzzaeR9xSBpsR', '2meEiZKWkiN28gITzFwQo5', '5OCJzvD7sykQEKHH7qAC3C', '5xDrO9DEDJGUQGfyoHvgDJ', '0sci7ppTZFm4mjcH3nu8yO', '1xWH8zYtDeS9mW1JJG23VZ', '7Dx9Z6Aon1qPS2N0rHSWTe', '4HBZA5flZLE435QTztThqH', '70yhaHLp9STtzI2Kzba6Tr', '6AviHKu3ydzAePBmzEi62v', '7xoUc6faLbCqZO6fQEYprd', '0sdbFOyfgAhAhWq8DpzkaW', '1TEL6MlSSVLSdhOSddidlJ', '0WdR2AyLW1Drd3OUdwezM0', '3UoULw70kMsiVXxW0L3A33', '5AKlnLpP3WLwZseNbjquND', '12KUFSHFgT0XCoiSlvdQi4', '5J4ZkQpzMUFojo1CtAZYpn', '14gkWVFMwdxBMyqBw1wmIg', '6NYtLvyThMT0oALFdJFdzq', '6tsOcBnaKgzK22yEiqRh8P', '2vdBo4ALPYbHRUPKgtE5iC', '4OafepJy2teCjYJbvFE60J', '70khXICDeTTxgYtw3EysKH', '5Il6Oe7lr5XM7A0cWbVQtr', '7E1jVNoWuemqUryI4FxsVD', '27356GVuMPFWiJSZCragoM', '1whfVLMKWqAX3uk97VXsNN', '2qT1uLXPVPzGgFOx4jtEuo', '2IKJtXeR5UsaUjZB46fTOK', '5GkQIP5mWPi4KZLLXeuFTT', '0Ryd8975WihbObpp5cPW1t', '1cdzfFjEbUbgTm5nv3FgXR', '6yL2kTsdVwYnGwPkKGtMd5', '7vS3Y0IKjde7Xg85LWIEdP', '3yiopxxeHuwcpAg4e57Zjt', '3ko9jEHNt4O5fjKN65ULJp', '2hloaUoRonYssMuqLCBLTX', '3wFLWP0FcIqHK1wb1CPthQ', '14kYOiFVPb7E7NfFbqhdln', '6f5TuB9WtbA1g49A4DcMQ4', '1pKeFVVUOPjFsOABub0OaV', '4kV4N9D1iKVxx1KLvtTpjS', '6NmCCgnQcxKHPOAKgd9Nth', '35mvY5S1H3J2QZyna3TFe0', '442j8VxaB60dWf9cBFuX5w', '06EL94D0TA27Ik0Ke5usbj']","['safety net (feat. Ty Dolla $ign)', 'positions', 'love language', 'boyfriend (with Social House)', 'NASA', 'bad idea', 'goodnight n go', 'Into You', 'nasty', 'Love Me Harder', 'the light is coming (feat. Nicki Minaj)', 'Almost Is Never Enough', 'Focus', '34+35', 'Santa Tell Me', 'Baby I', 'fake smile', 'motive (with Doja Cat)', 'MONOPOLY (with Victoria Monét)', 'The Way', 'Popular Song', 'Be Alright', 'off the table (with The Weeknd)', 'breathin', 'no tears left to cry', 'Let Me Love You', 'Everyday', 'Best Mistake', 'Problem', 'pov', 'bloodline', 'Side To Side', 'Stuck with U (with Justin Bieber)', 'One Last Time', 'Right There', 'shut up', 'ghostin', 'pete davidson', 'Break Free', 'west side', '7 rings', 'sweetener', 'God is a woman', 'just like magic', 'in my head', 'Dangerous Woman', 'everytime', 'R.E.M', 'Last Christmas', 'needy', 'obvious', 'make up', 'six thirty', ""break up with your girlfriend, i'm bored"", 'my hair']",55,"['2013-09-07|37', '2014-05-17|53', '2013-12-07|48', '2018-09-01|268', '2019-08-17|412', '2013-09-21|40', '2014-08-30|74', '2020-11-07|453', '2013-08-10|31', '2016-09-17|200', '2019-02-02|330', '2015-11-21|149', '2016-05-28|172', '2018-07-07|254', '2013-04-13|14', '2018-07-28|258', '2016-04-02|162', '2016-05-07|168', '2014-07-19|62', '2019-04-13|372', '2017-03-04|234', '2020-11-14|454', '2016-04-09|163', '2020-05-23|435', '2014-10-25|92', '2018-05-05|245', '2015-02-28|125', '2013-08-24|34', '2014-12-13|108', '2019-02-23|337']"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['75pQqzwgCjUOSSy5CpmAjy', '116H0KvKr2Zl4RPuVBruDO', '6NfrH0ANGmgBXyxgV2PeXt', '2DEZmgHKAvm41k4J3R2E9Y', '5DxXgozhkPLgrbKFY91w0c', '0SqqAgdovOE24BzxIClpjw', '7sOfmPd18RWp3FoCzpa7Kw', '4j4w4CXm6BSr0s25wAWrrX', '2TH65lNHgvLxCKXM3apjxI', '41wtwzCZkXwpnakmwJ239F', '38RIEav39FGi86jppxO0du', '47EiUVwUp4C9fGccaPuUCS', '5YOkA7qd2983FtBQnP8sYx']","['Callaita', 'Safaera', 'Yo Perreo Sola', 'MIA (feat. Drake)', 'Bichiyal', 'Ignorantes', 'Soliá', 'Dakiti', 'Solo de Mi', 'Pero Ya No', 'Si Veo a Tu Mamá', 'Vete', 'La Difícil']",13,"['2020-02-29|60', '2019-01-12|12', '2019-12-07|49', '2019-06-22|29', '2020-03-14|62', '2018-10-27|1', '2020-11-14|98']"
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['195gauSXE6Q2IKmCrarHut', '6w8vxB8I2QKZupDfxg9QTe', '2h4cmbyb6S7e8igDZIITJU', '6w4PV16oMh5I6ZOCvig0hK']","['The Voice', '3 Headed Goat (feat. Lil Baby & Polo G)', 'Stay Down (with 6LACK & Young Thug)', 'Viral Moment']",4,"['2020-09-19|12', '2020-11-14|18', '2020-05-23|1']"
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,"['1FxTz4x5X7ewAICkKhB3kA', '7tgjDlQsMR8RvkdlNCJA58', '4e34Qq2lkp92egwgjacVcT', '4mHgYpuGHu99Mw69E83CP2', '6uYgCE2OEulOw5zhHvZsHf', '3YeJXuRSNS5FYwOsDu44kD', '5tRa5hnltiyqY63rWOfnO2', '2ktxr00GpTtbMNeBjNeY8D', '1usK5eLBzpQTMwDt8SR2dr', '2PI3qpTqYowwMzOSQRuj73', '0ZPCxNK4DIrF8KqrN3DxfA', '0AcicReEGm1qcENjqzh1Tg', '75lcPkAkUsKWHGBlGM476R', '5aXgz1oKK8Q9z9xvTmSnrO', '3Kd6Wp3lG5HXMB2dlvuy7y', '1SxagO9GK0UUeEYLmH8Pln']","['Toxic Waste', 'Love Me More', 'Negative Energy', 'Taking A Walk', 'Dark Knight Dummo (Feat. Travis Scott)', 'Topanga', 'Hate Me', '6 Kiss', 'Weeeeee', 'Mac 10', '1400 / 999 Freestyle', 'Who Needs Love', 'Snake Skin', 'Under Enemy Arms', 'Love Scars 3', 'Death']",16,"['2019-11-16|22', '2020-11-14|34', '2019-06-15|19', '2018-11-24|13', '2017-12-30|1', '2019-11-30|23', '2018-11-10|11', '2018-08-25|8', '2019-08-24|20', '2019-12-07|24']"
Big Sean,0c173mlxpT3dSFRgMO8XPh,"['1bzM1cd6oqFozdr4wK6HdR', '1MksGqIztTT6M9R1ErKVs8', '1o8jNa1Rsgh0iI9KQKRDHN', '3wAI7MIQtTgwcRmwchPZBc', '33gwZOGJWEZ7dRWPqPxBEZ', '30CZcZ0NpTXjVJJa5X5nwf', '2B9wgj9XzbJZLty03PRbVo', '1jQsKN68yE94tMYml0wHMd', '6FXsrAH7Zol1jusSeJIoYA', '731Pa6Gt7GAdADATMSEL0N', '4atJ40xfasjdM9ZF3p07BV', '0URaKGzNTtzKRtsJN1RkA9', '0Fv5N0cHBsl4bzCbollCAS', '7DuvVy7JfFgXwWlVzyyPys', '5VKsvhjnjQ3IAspPjGiNPf', '3ZAMtgYJFoHwJjFkhkXqKr', '4TTxJLkM2JWr6NjJji0dFy', '4VLTxHOyFX5FRtkpsFm5Pc', '7IP0lO9tHfNwBWZ9X6TJ84', '3rsOs39rDAYxIOrDTHAgR9', '6bxUnsSGZCmoHHU5auwtps', '1r0faljjM2b876iNoaDUh5', '5xpmdbQcfIOsE1hACcC3UK', '1u0MOgWF1bbylVxpJG2ZjB', '46hDiH4YvAWXE04GskkIHS', '70tFuqBcduJv15bEnOPRTh']","['My Last', 'Lithuania (feat. Travis Scott)', 'Moves', 'Pull Up N Wreck (& Metro Boomin)', 'Why Would I Stop?', 'Halfway Off The Balcony', 'Light', 'Dance (A$$) Remix', 'Owe Me', 'No Favors', 'Body Language (feat. Ty Dolla $ign, and Jhené Aiko)', 'Single Again', 'Marvin & Chardonnay', 'Go Legend (& Metro Boomin)', 'Sacrifices', 'Wolves (feat. Post Malone)', 'Bezerk (feat. A$AP Ferg)', 'One Man Can Change The World', 'Deep Reverence', 'Play No Games', 'Beware', 'Jump Out The Window', 'Paradise - Extended', 'High', 'All Your Fault', 'Blessings']",26,"['2011-07-16|14', '2011-08-06|18', '2015-03-14|123', '2017-01-14|178', '2020-09-19|226', '2015-02-21|117', '2019-08-10|222', '2011-03-19|0', '2017-02-25|190', '2013-07-13|78', '2019-09-14|225', '2017-12-30|221', '2011-10-22|33', '2017-11-25|220', '2015-07-18|148']"
Lil Wayne,55Aa2cqylxrFIXC767Z865,"['2334WaCjswLcRIRgTTPWaZ', '7rdjfrTBMNt3KaaGvSv3YG', '2k79z9A1dbdQ8gQG8M1Zz5', '2ZoKMVQaFYnOsKeHbzSqLy', '1lIVUZkvFCQy4wxSvNF2LE', '4P7VFiaZb3xrXoqGwZXC3J', '2DnH4XlEkghUdE8ymdVom5', '4aX4Oycsk1fhHIee1zqsDe', '7HaggpJGAfEgH8wyMLOIPl', '50mX6QmpQX4cCsRYJ9fGM3', '6wqWfSOZvTK18SAczoYm1L', '4dASQiO1Eoo3RJvt74FtXB', '6y4pOReFqH2wzo4CV91cZC', '5s6pKnF3ZPtuqvEx1i1V7U', '5IvdLxVB8gwwcgnEkXSSW2', '68lOQPb5tX8U2cQRuas0L2', '3BUWNzPWz2mDbptZmGEXpB', '1WGguXX9FkzBHeLb5ISfgg', '1kMuU3TNQvHbqvXCWBodmP', '0CBQ0m3mufWH75LTYB3s6h', '4E3qImtJzRqLt8ZZyLceOE', '1bRO28yzxgO3y3UmNR29TZ', '610FzmkhFSsORpECZbjT4X', '3e21cX0CVwzkQXiHz7WUQZ', '0lyYVubxulG0uUPOVCQj0Z', '6x4m0Q6kqRnhslFRoGO3mA', '3wScL5W8H40zzCKN0atfBk', '05r1GGg1Rhs0RcUg27C82a', '7tGlzXJv6GD5e5qlu5YmDg', '0EHR9OObFtjlhQB8wSt1m7', '7fxzl4qyZBDnLkcsfire2j', '1DDsYldutVWnRrRbZc5X5B', '58PWl2rA7lU90UBvDufzWm', '6v2eEC9Nr9POe5xPUm8361', '0h6sfKXFb641F2E13rY4f2', '1Dk3CfJEtqvj7Xg2AWwfEn', '7EgI0dCaQuHFe3OTj5EpWI', '05pdoheuKPSotkjMgIVX6I', '5o5KX1f1JBQ2SxGzE8RQQA', '0Y7di9ZCmB6Elad5WISaPc', '7cG6SxmQ24hQWnR8UThrk2', '6t2eIONH4Sax3R21QWiKNp', '5f9JYuHSIHjp6rggue13RS', '0ubdf6zWT1It2saK41SkO0', '6ScJMrlpiLfZUGtWp4QIVt', '00NUqFMIpCsrYPbM9YpVHQ', '3JX0dOCIAiaR8MP3ryXWuM', '5DjLed65sri5juDG6kdPPK', '46lIt6GmL0VkkbuUyGDbCs', '7K8vPC3GPWafq2zXHuUGXz', '7rOC38CapytIWabBApuuCG']","['President Carter', 'Used 2', 'Problems', 'Dark Side Of The Moon (feat. Nicki Minaj)', 'Lollipop', 'What About Me (feat. Sosamann)', 'Bill Gates', '3 Peat', 'Took His Time', 'Let It Fly (feat. Travis Scott)', 'Mahogany', 'Start This Shit Off Right (feat. Ashanti & Mack Maine)', 'I Do It (ft. Big Sean, Lil Baby)', ""It's Good"", 'Shine', 'Right Above It', 'Nothing but Trouble - Instagram Models', 'Mrs. Officer', 'On Fire', 'Dedicate', 'Funeral', 'Famous (feat. Reginae Carter)', 'Way Of Life', 'Uproar', 'A Milli', 'Hustler Musik', 'Got Money', 'Mess', 'American Star', 'Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'Love Me', 'Drop The World', 'John', 'Mama Mia', 'Prom Queen', 'Open Safe', 'Let It All Work Out', 'MegaMan', 'Open Letter', ""You Ain't Got Nuthin"", 'Hittas', 'Believe Me', 'Gonorrhea', 'How To Love', 'Mirror', 'How To Hate', 'Blunt Blowin', 'Knockout', 'Dope New Gospel (feat. Nivea)', 'Perfect Strangers', ""What's Wrong With Them""]",51,"['2009-02-14|172', '2010-02-20|192', '2009-12-26|185', '2008-06-21|74', '2001-09-22|0', '2020-02-15|477', '2008-03-29|56', '2011-06-11|266', '2013-02-02|374', '2002-07-06|1', '2006-04-29|50', '2008-09-06|119', '2010-01-16|187', '2011-04-09|250', '2015-10-03|419', '2008-05-10|62', '2008-06-14|72', '2008-06-28|78', '2018-10-13|448', '2011-09-17|292', '2014-06-14|399', '2016-07-16|426', '2010-10-16|217']"
Luke Combs,718COspgdWOnwOFpJHRZHS,"['0jcZ1uIHmvh6Is9T6hXOUk', '7aEtlGHoiPAfRB084NiDmx', '3zxAw8PaqpeGZ3Pakkxv3J', '6IBcOGPsniK3Pso1wHIhew', '2rxQMGVafnNaRaXlRMWPde', '698eQRku24PIYPQPHItKlA', '6xHI9KjUjYT0FPtGO8Mxa1', '5Fhe63YOMZsGdB3CgCDuBi', '0nYvjcSlCgjcwogQAwIwNp', '226le7T3p82reYWzsi9Hsz', '0nGXi46VcQQ56ZJR428MKS', '4gB7HrYHbJVJ5RFOjxmoq4', '6gdLyYNuhWBzqwlOFSsXC7', '3aMUiKCIXJeurR5ppEMJZD', '7IWV29mryrqtO0JVgnPtfv', '1mMLMZYXkMueg65jRRWG1l']","['Six Feet Apart', 'The Other Guy', 'She Got the Best of Me', 'Without You', 'Beer Never Broke My Heart', 'Beautiful Crazy', 'Forever After All', 'Does To Me (feat. Eric Church)', ""Even Though I'm Leaving"", '1, 2 Many', 'Hurricane', 'Better Together', 'One Number Away', ""Lovin' On You"", 'When It Rains It Pours', 'Cold As You']",16,"['2019-09-28|140', '2019-06-22|123', '2017-03-04|3', '2017-08-19|25', '2020-11-07|207', '2020-10-03|199', '2020-07-11|183', '2018-03-31|45', '2018-05-19|52', '2020-05-16|173', '2019-05-18|113', '2019-11-23|151', '2020-03-28|166', '2018-08-25|69']"
Saweetie,6cK3NBO6uP7hh0oyuVELFl,"['3MEruRteiUZXkStfTlZqRn', '4Hpib09wXgD84w4uwTPnYD', '5KBARWIxeMGkvUax9VtVC9']","['Tap In', 'Back to the Streets (feat. Jhené Aiko)', 'My Type']",3,"['2020-07-25|21', '2020-11-07|36', '2019-07-13|1']"
