name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year,chart_year
Bad Day,Fuel,5z5ao3FAaVwHk1g7xuOBcB,0.29100000000000004,0.735,-4.767,1,0.0415,0.000374,4.53e-06,0.0808,0.19,175.97799999999995,195466,4,10,1,2001-07-28,48,2000-09-19,22,61,521251,1,['0EyuKHE1AeE9lWUF8mzKVp'],9,0EyuKHE1AeE9lWUF8mzKVp,Fuel,2000,2001
Loaded,Ricky Martin,1qj8Td79dgmLqCYafkhQ3G,0.506,0.951,-4.305,0,0.0796,0.0109,7.18e-05,0.0536,0.748,199.811,233173,4,13,1,2001-06-16,34,2000-01-01,98,79,5595153,1,['7slfeZO9LsJbWgpkIoXBUJ'],9,7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,2000,2001
Thank You In Advance,Boyz II Men,1qLDXxbJK1VLwS9jArwWnC,0.698,0.435,-6.876,1,0.0445,0.0897,0.0,0.275,0.208,119.988,251306,4,13,1,2000-12-30,40,2000-08-30,6,71,1927560,1,['6O74knDqdv3XaWtkII7Xjp'],1,6O74knDqdv3XaWtkII7Xjp,Boyz II Men,2000,2000
Stronger,Britney Spears,5QhBKPqsnX1uY9fZNaAtZg,0.7070000000000001,0.923,-3.957,1,0.0521,0.128,0.000437,0.273,0.8420000000000001,108.049,203000,4,9,1,2000-12-02,66,2000-05-16,109,83,7974170,1,['26dSoYclwsYLMAKD3tpOr4'],11,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2000,2000
Give Me Just One Night (Una Noche),98º,1OvjOVieEsYqGiK1T3mUv9,0.5429999999999999,0.79,-6.145,1,0.0491,0.0513,3.55e-06,0.0981,0.655,123.631,205160,4,9,1,2000-08-19,43,2000-09-26,0,61,285844,1,['6V03b3Y36lolYP2orXn8mV'],0,6V03b3Y36lolYP2orXn8mV,98º,2000,2000
Absolutely (Story of a Girl) - Radio Mix,Nine Days,3mNecsYFb6LQg7822DPXCP,0.481,0.94,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333,4,6,1,2000-05-06,67,2000-05-16,0,55,65320,1,['306JHpIRGVaQd6OltnOzUO'],7,306JHpIRGVaQd6OltnOzUO,Nine Days,2000,2000
My Everything,98º,0bz0nJ3SztnFRKfSwFbhC6,0.637,0.523,-7.802,1,0.0326,0.29600000000000004,0.0,0.101,0.238,125.979,231200,4,12,1,2000-12-09,50,2000-09-26,0,61,285844,1,['6V03b3Y36lolYP2orXn8mV'],4,6V03b3Y36lolYP2orXn8mV,98º,2000,2000
The Best Day,George Strait,5ApdBBa3MtTzpF0MbpB2NG,0.647,0.49,-5.044,1,0.0288,0.6759999999999999,0.0,0.231,0.298,132.336,204066,4,10,1,2000-01-29,45,2000-01-01,46,76,2215025,1,['5vngPClqofybhPERIqQMYd'],9,5vngPClqofybhPERIqQMYd,George Strait,2000,2000
Straight Up,Chanté Moore,74ZQQZAVOrd5sENv57jfCj,0.8640000000000001,0.8690000000000001,-3.602,1,0.129,0.255,0.000134,0.0469,0.93,100.011,220200,4,10,1,2000-10-28,45,2000-01-01,0,46,308479,1,['77OlE8SkEHDkJczfswzDFo'],1,77OlE8SkEHDkJczfswzDFo,Chanté Moore,2000,2000
Sleepwalker,The Wallflowers,5szl1EdOw3CuvItkpGuDHk,0.534,0.892,-5.04,0,0.028,0.000697,0.0,0.109,0.7490000000000001,128.834,211026,4,8,1,2000-10-28,42,2000-01-01,0,62,493854,1,['0jJNGWrpjGIHUdTTJiIYeB'],4,0jJNGWrpjGIHUdTTJiIYeB,The Wallflowers,2000,2000
